Номер коробки;"КОЛ-ВО
экз. в коробке";"Обзорное описание изданий
(Название, год и номера или подшивки)";Примечания
6951;18;"Библиограф: (1885-1889); 1890 № (5-12); 1891
№ (1-12); 1892 (№ 1-9,12); 1893 (1-13);
Библиографические записки: 1858 (1-24) 2
экз, 1859 (№ 1-20) 2 Экз; (1861) 2 экз; 1892 №
1,2, 3, 5, 6, 8, 9;";"Подготовил: Корокина, Акименко 22.07.23
с. 10-14"
6952;108;"Библиографические записки: 1892 №4,7,10, 11, 12;
Библиография : 1992 № ?, 5/6; 1993 № 1-
6;1994 № 1-6; 1995 № 1-6; 1996 № 1-6; 1997 №
1-6; 1998 №1-6; 1999 № 1-6; 2000 № 1-6; 2001
№ 1-6; 2003 №1-6; 2004№ 1-6; 2005№ 1-6; 2006
№1-6; 2007 № 1-6; 2008 № 1-6; 2009 №1-6;";"Подготовил: Корокина, Акименко 22.07.23
с. 10-14"
"7025
6375";69;"Библиография 2010 № 1, 2, 3, 4, 5, 6;
2011 №1,2,3,4,5,6, 2012 №1,2, 3; 2013
№1,2,3,4,5,6; 2014 № 1,2,3,4,5; 2015 №1,2,3,4,
5,6; 2016 № 1,2,3,4,5,6;
Библиотека 1992 (1-4); 1993 (1-5); 1993 (6-12);
1994 (1-6); 1994 (7-12); 1995 (1-6); 1995 (7-12);
1996 (1); 1996 № 2; 1996 № 3; 1996№ 4; 1996 №
5; 1996 № 6; 1996 №7; 1996 № 8; 1996 № 9;
1996 № 10; 1996 № 11; 1996 № 12; 1997 (1,2);
1997 (3,4); 1997 (5,6); 1997 (7,8); 1997 (9, 10);
1997 (11,12); 1998 (1,2); 1998 (3,4) ; 1998 (5,6);
1998 (7,8); 1998 (9,10); 1998 (11, 12)";"Подготовил Пинто, Чевычалова
24.07.23, с 14-18"
17;62;"Библиография и книговедение: 2015 № 1-6;
2016 № 1., 2,2 3-6; 2017 № 1,2 ,2,3,3, 4,4, 5,5,6,
6; 2018 № 1-6; 2019 № 1-5; 2020 № 1-6;2021
№1
Вестник Адыгейского гос.универ-та: 2019 № 4; 2020 № 2-4; 2021 № 1-4; 2022 № 1-3
Вестник Архивиста: 2010 № 1-4; 2011 № 1-4;
2012 № 1-4; 2013 № 2-4; 2014 № 1-4";Подготовил: Чернышева, Ермаков 27.07.23., с 14-18
"7026
6376";29;"Библиотека 1999 (1,2); 1999(3.4); 1999 (5,6)
1999 (7,8); 1999 (9,10); 1999 (11, 12); 2000 (1,2);
2000 (3,4); 2000 (5,6) 2000 (7,8); 2000 (9,10)
2000 (11,12); 2003 (1-6); 2004 (1-6); 2004 (7-12);
2001 (1,2); 2001(3,4); 2001 (5,6); 2001 (7,8);
2001 (9,10); 2001 (11,12); 2002 (1-6); 2002 (7-
12); 2005 (1-6); 2005 (7-12); 2006 (1-6); 2006 (7-
12); 2007 (1-6); 2007 (7-12)";"Подготовил Пинто, Чевычалова
24.07.23, с 14-18"
"7027
6377";105;"Библиотека 2008 (1-6); 2008 (7-12) 2008 № 12;
2009 (1-6); 2009 (7-12); 2010 № 1,2,3,4,5,6; 2011
№ 1,2,3,4,5,6,7,9,10,11,12; 2012 № 1,2,3, 4,5,
6,7,8,9,10, 11, 12; 2013 № 2,3,4, 5,6,7,8, 9,10,
11,12; 2014 № 1,2,3, 4,5,6,7,8,9,10,11,12; 2015
№1,2, 3,4, 5,6, 6,7,8,9,10,11; 2016 №1,2,3,4,5,6;
Библиотека архитектора и дизайнера 2003
№1; 2004№ 2;
Библиотека в эпоху перемен 2005 № 3,4,; 2006 №1,2,3/4,7,2007 №1,2,3,4; 2008 № 1,2,3,4;
2009 № 1,2,3,4; 2010 № 1,2,3,4; 2011 № 1, 2,3,4;
2012 №1,2";"Подготовил Пинто, Чевычалова
24.07.23, с 14-18"
"7028
6378";34;"Библиотека театра и искусства 1904 (19-24);
1905 (2-4); 1905 (13-24); 1905 (1,2); 1905 (3-12);
1905 (10,13,14); 1905 (5,9); 1905 (15,18); 1905
(19-24); 1905 (13-24); 1904 (1-12); 1904 (13-24);
1904 (1-24); 1904 (1-4); 1904 (5-8); 1904 (14-18);
1904 (10-13); 1904 (1-12); 1903 (13-24); 1905 (1-
12); 1903 (13-24); 1903 (1-12);1903 (1-12); 1902
(1-3, 8-12); 1902 (1-12); 1901 (1-12); 1899; 1898
(1,2); 1897 (18-52)
Былое 1906 (1-2); 1906 № 1; 1906 № 2; 1906 №
2; 1906 № 3";"Подготовил Пинто, Чевычалова
24.07.23, с 14-18"
"7021
6371";62;"Библиотека театра и искусства:1910 (7-12); (10-11), (1-6); 1911 (7-12); 1912 (1-6), (1-12), (7-
12); 1913 № 1-3,4, (5-8), (7-12), (1-6), (9-12);
1914№ (7-12), (1-6);1915 № 2, (1-6), (7-12);
1916 № (1-6 (2 экз)), (7-8), (7-9), (9-12); 1917 №
(1-6), (11-12), (1-6), (7-8),(9-10);
Библиотекарь: 1977№ 1-12; 1978 № 1-12;";Подготовил: Корокина, Волошко 24.07.23, с. 10-14
"7022
6372";166;"Библиотекарь: 1979 № 1-12; 1980 № 1-12;
1981 № 1-12; 1982 № 1-12; 1983 № 1-12; 1984
№ 1-12; 1985 № 1-12; 1986 № 1-12; 1987 № 3-
12; 1988 № 1-12; 1989 № 1-6; 1990 № 1-4,6-12;
1991(1-6), (7-12)
Библиотековедение: 1993 № 1-5/6; 1994 № 1-
3; 1995 № 1-6; 1996 №1-6; 1997 № 1-6; 1998 №
1-6;";Подготовил: Корокина, Волошко 24.07.23, с. 10-14
"7023
6373";31;"Библиотечное дело: 2003 № (5-12); 2004 (1-6),
(7-12); 2005 (1-6), (7-12); 2006 (1-6), (7-12);
2007 (1-6), (7-12), (13-18); 2008 (1-6), (7-12),
(13-18), (19-24); 2009 (1-6), (7-12), 13-16, 19-23;
2012 № (1-8),(9-16),(17-24); 2013№ (7-15), (16-
24); 2014 № (1-8)";Подготовил: Корокина, Волошко 24.07.23, с. 10-14
"7024
6374";134;"Библиотечное дело: 2014 № (9-16), (19-24),
17, 18; 2015 № 1-6, 8-24; 2016 №1,2,4-7/8-24;
2017 № 1-24; 2018 № 1-24;
Библиофильские известия: 2008 №1,2; 2009
№3,4; 2010 №5-7; 2011№ 8 -11; 2012 № 12-15;
2013 № 16,19; 2014 № 20-23; 2015 № 24/25;
2018 № 28/29;
Бирюч: 1918 № (1-8 (2 экз)), (2-4,6); 1919 №
(13-20), 9, 10, июн/авг (2 экз), 19/20; (1918 (1-
8), 1919 (9-20)); (1919 летний, 1920 № 2(2 экз));
1920 № 2(2 экз);";Подготовил: Корокина, Волошко 24.07.23, с. 10-14
