Номер коробки;"КОЛ-ВО
экз. в коробке";"Обзорное описание изданий
(Название, год и номера или подшивки)";Примечания
"7058
6408";23;"Иностранная литература: 1956 №(7-9), (10-
12), (4-6);  1957 №(1-3), (4-6), (7-9), (10-12),
1958  №(1-3), (4-6), (7-9), (10-12); 1959 № 1-12;
1960 № (1-3)";"Подготовил: Корокина, Волошко
25.07.23, с. 10-14"
"7059
6409";21;"Иностранная литература: 1960 (4-6); (7-9),
(10-12); 1961 № (1-3),(4-6), (7-9), (10-12); 1962
№ (1-3), 4-9, (10-12); 1963 № (1-3),(4-6), (7-9),
(10-12); 1964 № (1-3),(4-6),";"Подготовил: Корокина,
Волошко 25.07.23, с. 10-14"
"7060
6410";23;"Иностранная литература: 1964 № (7-9),(10-
12); 1965 № (1-3),(4-6), (7-9), (10-12); 1966 №
№ (1-3),(4-6), (7-9), (10-12); 1967 № (1-3), (4-
6),(7-8),(9-10),(11-12); 1968 № (1-3),(4-6), (7-9),
(10-12); 1969 № (1-3), 4, (5-6), (7-8), (9-10)";Подготовил: Корокина, Волошко 25.07.23, с. 10-14
"7061
6411";27;"Иностранная литература: 1969 № (10-12);
1970 № (1-2),(3-4),(5-6), (7-8), (9-10), (11-12);
1971 № (1-2),(3-4),(5-6), (7-8), (9-10), (11-12);
1972№ (1-2),(3-4),(5-6), (7-8), (9-10), (11-
12);1973 № (1-2),(3-4),(5-6), (7-8), (9-10), (11-
12); 1974 № (1-2),(3-4);";Подготовил: Корокина, Волошко 25.07.23, с. 10-14
"7062
6412";30;"Иностранная литература: 1974 № (5-6), (7-8),
(9-10), (11-12); 1975 № (1-2),(3-4),(5-6), (7-8),
(9-10), (11-12); 1976 № (1-2),(3-4),(5-6), (7-8),
(9-10), (11-12);1977 (1-2), (3-4), (5-6), (7-8), (9-
10), (11-12);1978 № (1-2),(3-4),(5-6), (7-8), (9-
10), (11-12);1979 № (1-2),(3-4) ;";Подготовил: Корокина, Волошко 25.07.23, с. 10-14
"7063
6413";32;"Иностранная литература: 1979 № (5-6), (7-8),
(9-10), (11-12); 1980 № (1-2), (3-4), (5-6), (7-8),
(9-10), (11-12);1981 № (1-2),(3-4), (5-6), (7-8),
(9-10), (11-12); 1982 № (3-4), (5-6), (7-8), (9-10),
(11-12); 1983 № (1-2), (3-4),(5-6), (7-8), (9-10),
(11-12);1984 № (1-2), (3-4), (5-6), (7-8), (9-10);";Подготовил: Корокина, Волошко 25.07.23, с. 10-14
"7064
6414";31;"Иностранная литература: 1984№ (11-12); 1985 № (1-2), (3-4),(5-6), (7-8), (9-10), (11-12);
1986 № (1-2), (3-4),(5-6), (7-8), (9-10), (11-12);
1987 № (1-2), (3-4), (5-6), (7-8), (9-10), (11-
12);1988 № (1-2), (3-4),(5-6), (7-8), (9-10), (11-
12); 1989 № (1-2), (3-4),(5-6), (7-8), (9-10), (11-
12);";Подготовил: Корокина, Волошко 25.07.23, с. 10-14
"7065
6415";46;"Иностранная литература: 1990 № (1-2), (3-4),
(5-6), 7-12; 1991 № 1-7, 9-12; 1992 № 1-11/12,
1993 № 1-12; 1994 № 1,2,4,5";"Подготовил: Корокина, Волошко
25.07.23, с. 10-14"
"7066
6416";42;"Иностранная литература: 1994 № 6-12; 1995
№ 1-11/12; 1996 № (1-2), (3-4),(5-6), (7-8), (9-
10),11,12; 1997 № 1-12; 1998 № 1-12;";"Подготовил: Корокина, Волошко
25.07.23, с. 10-14"
"7067
6417";66;"Иностранная литература: 1999 № 1,2,3,4,5,6,7,8,9,10,11,12; 2000 №
1,2,3,4,5,6,7,8,9,10,11,12; 2001 № 1,
2,3,4,5,6,7,8,9,10,11,12; 2002 № 1,
2,3,4,5,6,7,8,9,10,11,12; 2003 № 1,
2,3,4,5,6,7,8,9,10,11,12; 2004 № 1,2,3,4,5,6";Агеева, Початкина 25.07.2023
"7068
6418";70;"Иностранная литература: 2004 № 7,8,9,10,11,12; 2005 № 1,2,3,4,5,6,7,8,9,10,11,12;
2006 № 1,2,3,4,5,6,7,8,9,10,11,12; 2007 № 1,2,3,
4,5,6,7,8,9,10,11,12; 2008 № 1,2,3,4,5,6,7,8,9,10,
11,12; 2009 № 1, 2,3,4,5,6,7,8,9,10,11,12; 2010
№ 1,2,3,4";Агеева, Початкина 25.07.2023
