Номер коробки;"КОЛ-ВО
экз. в коробке";"Обзорное описание изданий
(Название, год и номера или подшивки)";Примечания
4;42;"Пантеон 1853 Кн 7 т.10,
1853 кн 2 т 7 , кн 4 т 8, кн 6 т 9
1853 кн 11 т 12 , кн 9/10  т 11,
1848 кн 1 т 1,         т 5/6,
1850 кн 7 т 4 , кн 1 т 1,  кн 2 т 1,
кн 8 т 4,  т 6 , кн 9 т 5, кн 11  т 6,
1840 ( подш)1-3,4,6, подш 7-8, часть 4, кн 9,
1841 (подш) №7-12, Часть 3,4 (подш)  №1-5    Часть1,2
1843 кн 3
Петербургский театральный журнал 1992 № 0 1993 №1,2,3,4 1994 № 5,6
1995 № 7,8, 1996 №10,11 1997 №12,13,14
1999 № 17,18 2000 № 20,21,22 2001 № 23,24";"Пушкина Егорова
25.07.2023"
"7037
6387";74;"Персона 2002 № 1, 2, 3, 4/5, 6/7, 8, 9; 2003 № 1, 2, 3, 4/5, 6/7, 8, 9; 2004 1, 2, 3, 4/5, 6/7, 8, 9; 2005 1, 2, 3/4, 5, 6/7, 8, 9; 2006 1, 2, 3,  4/5, 6/; 2007 1, 2, 3, 4/5, 6, 7/8; 2008 № 9/1, 2, 3, 4/5, 6/7; 2008 № 8; 2008/2009 № 9/1; 2008 № 8; 2009 № 2; 2010 № 77
Перспектива. Поколение поиска 2022 № 4, 10
Петербургские чтения 1993 № 1
Петербургский исторический журнал 2019 № 2, 4; 2020 1, 4; 2021 № 1, 3; 2022 1, 4
Петербургский коллекционер 2007 № 5; 2010 2-6; 2011 1; 2012 6; 2022 1
Петербургский театральный журнал 2022 3, 4
Петербургский художник 2005 1; 2006 1, 2, 3; 2007 1, 2, 3

";"С.Н.
Чевычалова Н.В. Пинто"
5;50;"Петербургский театральный журнал 2001 № 25,26                2002 №27,28,29,30
2003 № 31,32,33,34      2004 № 35,36,37,38
2005 № 39,40,41,42      2006 № 43,44,45,46
2007 № 47,48,49,50      2008 № 51,52,53,54
2009 № 55,56,57,58      2010 № 59,60,61,62
2011 № 63,64, 65,66     2012 № 67,68,69,70
2013 № 71,72,73,74";"Пушкина Егорова
25.07.2023"
6;64;"Петербургский театральный журнал 2014 № 75,76,77,78   2015 № 79,80,81,82
2016 № 83,84,85,86   2017 № 87/88,87/88,87/88
2017 № 89,90               2018 № 91,92,93,94
2019 № 95,96,97,98     2020 № 99,100,101,102
2021 № 103,104,105,106  2022 № 107,108
Постскриптум  1995 № 1,2 1996 № 1,2
Про книги 2007 № 1   2009 №1,2,3,4,5
2010 № 1,2,3,4     2011  № 1,2,3,4  2012 № 1,2,4
2013  № 1,2,3,4     2014 № 1,2,3,4";"Пушкина Егорова
25.07.2023"
"7038
6388
";79;"Петербургский художник 2008 1, 2, 3; 2009 1, 2, 3; 2010 1, 2, 3; 2011 1; 2012 1; 2013 1, 2, 3, 4; 2014 ?
Планета красота 2001 3/4; 2002 1, ?, 5/6 9/10; 2003 1/2-11/12; 2004 ?, ?, 5/6, 9/10, 11/12, 11/12 (2 экз.); 2005 ?, ? (2 экз.), ?, ? (2 экз.), 7/8, 11/12; 2006 ?, ?, 7/8; 2007 ?, ?-7/8, 7/8; 2008 ?, ?, 7/8, 9/10, 11/12; 2009 ? -11/12; 2010 ?-11/12; 2011 ?, 5/6, 7/8, 9/10, 11/12, 11/12; 2012 ?-11/12, 7/8, 9/10, 11/12; 2013 ? -11/12 , ?, ?, 5/6, 7/8, 9/10, 11/12; 2014 ?, ?, ?, 5/6, 5/6, 7/8; 2015 ?, ?, 5/6, 7/8, 9/10; 2016 ?, ?, 5/6, 7/8
";С.Н. Чевычалова Н.В. Пинто
6787;18;"Печать и революция 1927  Кн.7-8, 5-6, 4, 3-4, 2, 1-2
Печать и революция 1928  Кн.3-4, 5-6, 7-8,1-2,
Печать и революция 1929  Кн.4-6, 7-8, 9-12, 1-3,
Печать и революция 1930  Кн.1-3, 4-6
Печать и революция 1934  Кн.1-8
Плакат и художественная репродукция 1935 №2
";"Евдокимова Л.В. Бабаева О.В.
11.07.2023"
5076;90;"Поем, танцуем и рисуем. 2018. № 1,2,3,4,5,6,7,8, 9,10,11,12,
Поем, танцуем и рисуем. 2019. № 1,2,3,4,5,6,7,8, 9,10,11,12,
Поем, танцуем и рисуем. 2020. № 1,2,3,4,5,6,7,8, 9,10,11,12,
Поем, танцуем и рисуем. 2021. № 1,2,3,4,5,6,7,8,9,10,11,12,
Поем, танцуем и рисуем. 2022. № 1,2,3,4,5,6,7,8,9,10,11,12,
Поем, танцуем и рисуем. 2023. № 1,2,3, Правовые основы семьи. 2013. Вып. 3,
Русская галерея. 1998. № 1, 2,
Русская галерея. 1999. № 1, 2,
Русская галерея. 2000. № 1/ 2, 1/ 2,
Русская галерея XX1. 2006, № 1-3, 4-6,
Русская галерея XX1. 2007, № 1-3, 4-6,
Русская галерея XX1. 2008, № 1-3, 4-6,
Русская галерея XX1. 2006, № 1-4, 5-7, 8-11,
Русская галерея XX1. 2010, № 1-4, 5-8,
Русская галерея XX1. 2011, № 1-3, 4-6,
Русская галерея XX1. 2012, № 1-3,
Русская галерея XX1. 2013, № 1-5, 6,
Русская галерея XX1. 2014, № 1-3, 4-6,
Русская галерея XX1. 2015, № 1-3, 4-6.";Титунова Бережнова 27.07.2023
"7039
6389
";72;"ПРАЕМА. Проблемы визуальной семиотики 2020 № 2; 2021 4; 2022 1; 2, 3, 4; 2023 1, 2
Подмосковный летописец 2021 № 4
Почтовая связь 2021 9, 10, 11, 12; 2022 1, 2, 3, 5, 6, 8, 9, 10, 11, 12; 2023 1, 2, 3, 4, 5
Предмет 2010 № 1
Преображение 1994 № 2; 1995 3; 1996 4; 1997 5
Природа и люди 1912 1-24, 26-52; 1915 1-52
Прически 2003 № 1; 2012 101, 102, 103, 104
Проблемы музыкальной науки 2012 № 1, 2; 2013 2; 2014 1, 2; 2014 3, 4; 2015 1, 2, 3, 4; 2016 1, 2, 3, 4; 2017 1, 2, 3, 4; 2018 1, 2, 3, 4; 2019 1, 2, 3, 4; 2020 1, 2, 3, 4
";С.Н. Чевычалова Н.В. Пинто
"7132
6482
";45;"Про книги. 2015. № 1, 2, 3, 4, Про книги. 2016. № 1, 2, 3, 4,4, Про книги. 2017. № 1, 2, 3, 4, Про книги. 2018. № 1, 2, 3,  Про книги. 2019. № 1, 2, Про книги. 2020. № 1, 3,    Про книги. 2021. № 1/2, 3/4, Про книги. 2022. № 1/2, 3/4, Прожектор. 1923. № 1-12,  Прожектор. 1927.№ 1-24 (кроме 16), Прожектор. 1929. № 30-32, Прожектор. 1923. №8-19, Прожектор. 1931. № 3-36, Прожектор. 1932. № 4-18,  Пролетарская культура. 1918. №1-5,   Пролетарская культура. 1919. № 6-10, ,  Пролетарская культура. 1920. №13-16, ,  Пролетарская культура. 1931. № 4-6, ,  Пролетарская культура. 1932. №1/2, ,  Пролетарская культура. 1932. № 1-2, Пролетарская культура. 1932. №1-8, Пролетарская культура. 1932. №9-22,
Пролетарский музыкант. 1929. №1-8,
Пролетарский музыкант. 1929. №2-6,
Пролетарский музыкант. 1930. №3-7, Пролетарский музыкант. 1931. №1-10,
Путь. 1995 № 8, Рабис. 1928. №1-26,
Рабис. 1928. №27-52, 
";"Бережнова,
Титунова, 
26.07.2023
"
"7041
6391";20;"Прожектор 1925 №3-6-8-12, 
Прожектор 1924 № 18-19-21, 13-14-19-21, 1-2-6-12
Прожектор 1923 № 13-17-19-22, 7,
Прожектор 1934 № 1-12 
Прожектор 1933 № 1-16
Прожектор 1932 № 1-24
Прожектор 1931 № 19-36
Прожектор 1930 № 14-15-17-18-28-29-30, 3-4-11-12,
Пролетарская культура 1919 
Пролетарская культура 1919 1-10, 
Пролетарское кино 1931 №1-12 (Библ-ка Волкова), 1-11, 
Пролет.  кино 1923 №1-2
Пролетарская культура 1919 №6-12
Пролетарская культура 1920 №13-19
Пролетарская культура 1918 № 1-5

";"Евдокимова
Л.В. Суслова"
