Номер коробки;"КОЛ-ВО
экз. в коробке";"Обзорное описание изданий
(Название, год и номера или подшивки)";Примечания
5249;72;"Cотбис
2008 № 048810
2007 № 047315
2000 № 059441
2001 № 059528
2006 № 060544
1999 № 060920
1998 № 059570
2000 № 060329
2004 № 043700
2004 № 045406
2009 № 052383+ прилож.
2009 № 052382+ прилож.
2009 № 052400+ прилож.
2009 № 052394+ прилож.
2009 № 052393+ прилож.
Cотбис2010 № 052613+ прилож.
2009 № 052401 + прилож
2010 № 052614+ прилож.
2010 № 052621+ прилож.
2007 № 047176+ прилож.
1987 № 054608
1987 № 061269
2010 № 052622+ прилож.
1988 № 061259
1988 № 061258
1988 № 054611
1994 № 040593
1987 № 054609
1987 № 061263
2005 № 045540
2004 № 043691
2007 № 047182
2006 № 045951
2006 № 045748
2006 № 045952
2008 № 048106
2007 № 047185
2006 № 045984
1993 № 041723
2000 № 060885
1999 № 060341
1999 № 060248
2001 № 059584
1985 № 061104
1993 № 054616
2006 № 046890
2000 № 059442
1999 № 060256
2001 № 060765
2000 № 060136
2001 № 060148
2005 № 045786
1998 № 059001
2007 № 047284
2000 № 059476
1999 № 060333
2001 № 060257
1997 № 060281
2001 № 058990
1999 № 059519
1998 № 060756

";Суслова Е.В., Евдокимова Л.В.
5167;59;"Cотбис
1986 № 161257
1999 № 059415
1999 № 058999
1999 № 060768
2004 № 043682
1993 № 054615
2007 № 047289
2000 № 060925
2000 № 060867
2001 № 059610
2000 № 060846
2006 № 046923
2009 № 052371
2000 № 060151
2000 № 060797
2006 № 046934
2005 № 045501
2004 № 043524
1999 № 060904
1998 № 060906
2009 № 052363
2007 № 047293
2001 № 060865
2000 № 059459
2000 № 059458
2000 № 059318
1999 № 060525
2001 № 061116
2001 № 061125
2005 № 045509
2004 № 043710
2006 № 046943
2007 № 047294
2006 № 046911
1999 № 060568
1998 № 059344
1999 № 060781
2010 № 052597
2016 № 056354
1999 № 060244
1999 № 060868
1993 № 040421
2001 № 060260
2000 № 059401
2000 № 060567
1999 № 059538
2000 № 060575
2001 № 060134
2000 № 059322
1999 № 060042
1993 № 040447
2009 № 053574
2006 № 052607
2004 № 052606
2006 № 046899
2001 № 060100
2006 № 045972
2005 № 045591
2006 № 046139

";Суслова Е.В., Евдокимова Л.В.
5164;65;"Cотбис
1999 № 059436
2000 № 059465
1999 № 060522
2000 № 060566
2001 № 059326
2000 № 060541
2004 № 044758
2005 № 045777
2006 № 046933
1999 № 060820
2000 № 060280
1993 № 040601
1998 № 059022
1999 № 060576
1999 № 060258
1999 № 060307
1999 № 061090
2000 № 059417
2000 № 059609
2000 №060524
2001 № 060171
2001 № 059041
2000 № 060247
2004 № 052601
2005 № 045738
2006 № 046944
2000 № 060523
2000 № 059506
1999 № 060284
1999 № 060116
2007 № 047193
2007 № 047194
2004 № 043697
2005 № 045505
2005 № 045765
1998 № 060901
1999 № 060313
2000 № 060615
2001 № 060166
2005 № 045514
2007 № 047295
1999 № 060483
1998 № 060571
2009 № 052140
1998 № 060780 
1999 № 060908
1999 № 060750
1999 № 060154
2000 № 059422
2005 № 045789
2006 № 046165
1999 № 060041
2007 № 047167
2007 № 047150
2007 № 047149
2008 № 048898
2008 № 048897
2009 № 052386
2009 № 052387
2009 № 052705
2009 № 052406
2008 № 048883
2007 № 047180
2007 № 047177
2008 № 060184


";Суслова Е.В., Евдокимова Л.В.
5168;49;"Cотбис
2005 № 045779
2004 № 043655
2005 № 045734
2007 № 047292
2004 № 045400
2010 № 052620
2005 № 045767
1999 № 060842
2006 № 046904
2006 № 046903
2004 № 044634
2006 № 046913
2005 № 045504
2005 № 045503
2008 № 048803
1999 № 060829
2008 № 048819
1999 № 060503
2005 № 045756
2004 № 044629
2001 № 059297
2008 № 048880
1999 № 059437
2000 № 060115
2000 № 060520
2001 № 059324
2005 № 045716
2000 № 060798
2007 № 047313
2004 № 044661
2004 № 045397
2016 № 056351
1993 № 041722
2007 № 047314
2005 № 045493
1999 № 060287
1998 № 060039
1994 № 041724
1999 № 060748
2000 № 059420
1999 № 060319
1992 № 040284
1992 № 040285
1993 № 040594
1993 № 040592
1998 № 061064
1998 № 058998
1999 № 059456
1999 № 060755

";Суслова Е.В., Евдокимова Л.В.
5166;51;"Cотбис
2008 № 048838
2009 № 052129
2008 № 048839
2009 № 052131
2000 № 060271
2001 № 060272
1999 № 060801
2010 № 052130
2008 № 048109
2000 № 059325
1998 № 060775
2016 № 056355
2010 № 052618
1999 № 060360
1998 № 059419
1998 № 059386";Суслова Е.В., Евдокимова Л.В.
5165;56;"Cотбис
2010 № 052623
2009 № 052128
2009 № 052404
2009 № 052389
2008 № 052376
2008 № 052375
2000 № 059072
2007 № 047257
2007 № 047248
1998 № 060046
2006 № 052611
2006 № 046175
2000 № 060506
2009 № 052388
2009 № 052407
1998 № 059531
1999 № 059423
1999 № 060118
2000 № 060617
2000 № 060830
2000 № 060288
2001 № 059290
2001 № 060816
2004 № 043687
2006 № 046174
2006 № 046173
2005 № 045758
2005 № 045518
2004 № 046147
2006 № 046168
2005 № 045757
2005 № 045710
2004 № 043671
2009 № 052133
2010 № 052624
2007 № 047156
2001 № 060943
2008 № 048808
2008 № 048804
2006 № 046950
2006 № 046906
2001 № 061066
2000 № 060500
2000 № 059310
1999 № 058984
1999 № 060127
1998 № 058988
2004 № 044657
2004 № 043657
2001 № 060352
2007 № 047285
2006 № 046164
2006 № 045919
2005 № 045608
2005 № 045492
2007 № 047287

";Суслова Е.В., Евдокимова Л.В
"7115
6465
";120;"Сборник приказов и инструкций 1940 № декабрь- 1941 № 2-8-10 (Библиотека Волкова)
Синий журнал 1913 №37, 36, 35, 34, 33, 32, 31, 30,29, 28, 24, 22,17, 16, 15, 14, 13, 12, 11, 10, 9, 8, 7, 6, 5, 4, 3, 2,1
Собрание 2004 №2, 2022 /23 №5, 2022 №4, 2021 №03, 1, 2, 2020 №10, 8, 7, 
Свой 2005 №6, 
Сноб 2019 №2
Смена 2017 №1,2,3,4,5,6,7,8,9,10,11,12
Смена 2018 №1,2,3,4,5,6,7,8,9,10,11,12
Смена 2019 №1,2,3,4,5,6,7,8,9,10,11,12
Смена 2020 №1,2,3,4,5,6,7,8,9,10,11,12
Смена 2021 №1,2,3,4,5,6,7,8,9,10,11,12
Смена 2022 №1,2,3,4,5,6,7,8,9,10,11,12
Смена 2023 №1,2,3,4,5,6,7
";"Суслова Е.В.
Евдокимова Л.В.
26.07.23
"
6833;41;"Сброс
Аврора 
2023 № 2
Архитектура и время
2023 № 3
Архитектура. Строительство. Дизайн 
2011 № 4
2023 № 1/2
Архитектура и строительство России
2023 № 1
Автограф
2023 № 4
Библиотечное дело
2023 № 9
Вопросы театра
2020 № 1
Вопросы культурологии
2023 № 5
Дом Бурганова
2009 № 2
Дом культуры
2023 № 6
Дружба народов 
2023 № 6
Знамя 
2023 № 6
Золотая Русь
2023 лето-осень
Игровая библиотека 
2023 № 2
Иностранная литература
2023 № 6
Индекс-Глянец
2023 № 5
Исторический архив
2023 № 3
Искусство кино
1982 № 7-9 (подшивка)
Казань
2023 № 6
Край смоленский
2023 № 5
Культура Урала
2023 № 5
Культурный код
2023 № 2
Киносценарий
1973 № 1
1974 № 1
1976 № 1
1977 №№ 1, 2
Лица липецкой области
2023 № 5
Марксистско-ленинское искусствознание
1932 № 5/6
Мономах
2023 № 3
Москва
2023 № 7
Музыка: искусство, наука, практика
2023 № 1
Музыкальная жизнь
2014 № 7/8-12 (подшивка)
Музыкальная палитра
2023 № 3, 4
Нева
2023 № 6
Независимый библиотечный адвокат
2023 № 3
Неприкосновенный запас
2023 № 2
Новое литературное обозрение
2023 № 3
Новый мир
2023 № 6
Общество: философия, культура
2023 № 5
Обсерватория культуры
2023 № 2
Охраняется государством
2023 № 1
Отечественные архивы
2023 № 3
Русский мир
2023 № 6
Столица
1993 № 40-52 (подшивка)
Телевидение и радиовещание
1973 № 1-12 (подшивка)








";"Заигрова Коваленко
13.07.2023"
"7113
6463
";76;"Светильник 1915 №2, 5-8
Светильник 1913 №9
Свой 2013 № 5-8, 10, 12, 11,
Свой 2015 № январь-декабрь
Свой 2014 № июнь-декабрь
Свой 2016 № январь- июнь, июль/ август- декабрь
Свой 2017 № 1-6, 7/8- 12
Свой 2018 № 1-6, 7/8-12
Свой 2019 № 1-6, октябрь, ноябрь, сентябрь, декабрь, 
Свой 2020 № январь, февраль, март, апрель, май, июнь, июль, август, сентябрь, октябрь, ноябрь, декабрь, 
Свой 2021 № январь, февраль, март, апрель, май, июнь, июль, спец, август, сентябрь, октябрь, ноябрь, декабрь
Свой 2022 январь, февраль, март, апрель, май, июнь, июль, август, сентябрь, октябрь, ноябрь, декабрь
Свой 2023 № январь, февраль, март, апрель, май
Северная маска 1925 №1 (биб. Волкова)
Сибирский антропологический журнал 2022 т.6 №1, 2, 3, 
Сибирский антропологический журнал 2020 Т.4 №4
Сибирское богатство 2022 №5, 
Сибирское богатство 2023 №2
СимбирскЪ 2022 №5
Синий диван 2020 вып. 24, 2012 вып.17, 2010 вып. 15, 14,  2008 вып.12, 2007 вып. 10/11, 

";"Суслова Е.В.
Евдокимова Л.В.
26.07.23
"
"7114
6464";69;"Семья 1894 №1-52
Сводная программа театров и кино 1938 № 3,4,5,7,11,21-26
Сводная программа театров и кино 1939 № 1,2
Синий диван 2002 №1, 2003 № 2, 3, 2004 № 4,5, 2005 № 6, 7, 
Русское прошлое 1923 №5
Собрание 2 018 №6, 2019 №7, 8, 9, 10, 2020 № 12, 2021 № 13, 14,15, 2022 № 18, Эксклюзив, 2023 № 19, 20
Слово о музыке 2020/1 (6), 2022/2 (11)
Синий журнал 1912 № 1-6-9-14-20-23-25-35-38-40-42-45-52,  3-9-35-40-43-44, 
Синий журнал 1911 № 28-48-51, 2-27
Синий журнал 1915 № 52, 27, 19, 
Синий журнал 1914 № 50
Синий журнал 1917 № 6-11-14-18
Скрипичный ключ 1997 №1, 2004 №1, 
След 2006 №1, 
Слово 1990 № 9,10,11,12
Слово 1991 № 1,2,3,4,5,6,7,8,9,10
Смена 2016 №1,2,3,4,5,6,7,8,9,10,11,12

";"Суслова Е.В. Евдокимова Л.В.
26.07.23"
