Номер;КОЛ-ВО;Обзорное описание изданий;Примечания
коробки;экз. в коробке;(Название, год и номера или подшивки);
6572;77;"Интеллектуальная собственность. 2013. №№ 4-12; 2014 №№ 1-12; 2015 №№ 1-12; 2016 №№ 1-12; 2017 №№1-12; 2018 №1-12; 2019 №№ 1-9; ";Болдырева
;;;Григорьева
;;;25.06.2023
6573;74;"Авторское право и смежные права. 2019 №№10-12; 2020 №№ 1-12; 2021 №№ 1-3; 2022 №№ 1-12; 2023 №№ 1-2.";Болдырева
;;"Интердизайн 1994 № 1;";Борисова
;;"Интернациональный театр. 1932. №№ 2 (2)-3; 1933. № 3-5; 3-6;";25.06.2023
;;"Интернациональный рабочий театр. 1931. № 2-3;";
;;"Иные берега. 2013 №№ 3-4; 2014 №№ 1-4; ";
;;"Интерпресс- график. 1982. №№ 1-4; 1983 №№ 1-4; 1984 №№ 1-4; 1985 №№ 1-4; 1986№№ 1-4; 1987 №№ 1-4.";
;;;
6574;40;"Интерпресс график 1988, №1-4; ";Комарова Н.Ю
;;"Интерьер + дизайн 2010; № декабрь-январь 2010-2011, февраль №2; октябрь 2010; ноябрь 2010; декабрь-январь 2010-2011; сентябрь 2010; июль-август 2010; июнь 2010; май 2010; апрель 2010; март 2010;";Шейнин М.Ю.
;;"Февраль 2011; март 2011; апрель 2011; май 2011; июнь 2011; июль-август 2011; сентябрь 2011; октябрь 2011; май 2012; апрель 2012; март 2012; февраль 2012; ноябрь 2012; декабрь-январь 2011-2012; ноябрь 2011; май 2013; октябрь 2012; сентябрь 2012; июль-август 2012; июнь 2012; апрель 2013; декабрь-январь 2012-2013; ноябрь 2013; октябрь 2013; сентябрь 2013; июнь 2013; июль-август 2013; ";
;;;
6575;58;"Интерьер + дизайн. Июнь 2014; май 2014; апрель 2014; март 2014; февраль 2014; декабрь-январь 2013-2014; апрель 2015; март 2015; февраль 2015; май 2015; июнь 2015; июль-август 2015; сентябрь 2015; октябрь 2015; ноябрь 2015;";Комарова Н.Ю
;;"Июнь 2016; май 2016; апрель 2016; март 2016; февраль 2016; декабрь-январь 2015-2016; Инфоскоп. № 269, декабрь 2019; № 234, март 2017; № 235, апрель 2017; № 240, сентябрь 2017; № 242, ноябрь 2017; № 243, декабрь 2017; ";Шейнин М.Ю.
