Номер коробки;"КОЛ-ВО
экз. в коробке";"Обзорное описание изданий
(Название, год и номера или подшивки)";Примечания
5060;106;"30 дней – 1939 – (1-6), (7-12); 1940 – (1,2, 5-6),
(7-12); 1941 – (1-6).
У книжной полки – 2007 - № 1,2,3,4; 2008 – 1,2,3,4; 2009- 1,2,3,4.
Упаковка -  2005 – (1-3), (2-6)
Феникс – 1992 - №1
Философские науки – 2005 - № 1- 12; 2006 -
№ 1 – 12; 2007 - № 1-12; 2008 - № 1-12; 2009 -
№ 1-12; 2010 - № 1- 12; 2011 - № 1 – 12, 1
спец.вып., 2 спец.вып.; 2012 - № 1-12";"27.07.2023
Акименко А.В. Ковтуненко М.П."
6788;54;"Театр и драматургия
1934 № 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11/12
1935 № 1-6, 7-12 (подшивки)
1935 № 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12
1936 № 1-12 (подшивка)
1936 № 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12
1936 № 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12
Театр и искусство
1897 № 1-52 (подшивка) (2 экз.)
1898 № 27-30, 32-52 (подшивка)
1898 № 1-26 (подшивка)
1900 № 1-52 (подшивка)";Коваленко Заигрова 11.07.23
6789;8;"Театр и искусство
1902 № 1-52(подшивка)
1903 № 1-52(подшивка)
1904 № 1-52(подшивка)
1905 № 1-52(подшивка)
1907 № 1-52(подшивка)
1908 № 1-52(подшивка)
1909 № 1-52(подшивка)
1910 № 1-26(подшивка)";Коваленко Заигрова 11.07.23
6792;12;"Театр и искусство
1905 № 1-52 (подшивка)
1906 № 1-52 (подшивка)
1907 № 1-26, 27-52 (подшивки)
1908 № 1-52, 1-26, 27-52 (подшивки)
1909 № 1-26, 27-52 (подшивки)
1910 № 1-26 (подшивка)
1911 № 1-26, 27-52 (подшивки)
";"Коваленко Заигрова
11.07.23"
6790;7;"Театр и искусство
1910 № 27-52(подшивка)
1911 № 1-52, 27-49, 50-52(подшивка)
1912 № 1-52(подшивка)
1913 № 1-52(подшивка)
1914 № 1-26, 1-52(подшивки)
1915 № 1-52 (подшивка)";Коваленко Заигрова 11.07.23
6793;51;"Театр и искусство
1912 № 1-26, 27-52 (подшивки)
1913 № 27-52
1914 № 27-52
1915 № 1-26, 27-52 (подшивки)
1916 № 1-26
1916 № 27-52 (отд. номера)
1917 № 1-52, № 33, № 24-25, № 28-31
1917 № 31-48 (подшивка)
1918 № 1-35 (подшивка) Театр и музыка
1922 № 1-13 (подшивка), 1-7(подшивка), №8,
№9, №10, №11, № 12, № 13
1923 № 1-2(подшивка), № 3, № 4, 1-37
(подшивка), 5-37 (подшивка)";"Коваленко Заигрова
11.07.23"
6791;31;"Театр и искусство
1916 № 1-52 (подшивка)
1917 № 1-26, 27-52 (подшивки)
1918 № 16-17, № 22-23, № 24-25, № 26-27, № 28-
31, № 32-35
1897 № 3-30, 31-47, 48, 49, 51, 52
1898 № 1-52(подшивка)
1900 № 4-7, 13, 16, 18, 31, 32, 43, 47, 52
1902 № 1-26, 27-52 (подшивки)
1903 № 1-26, 27-52 (подшивки)
1904 № 1-26, 27-52 (подшивки)";"Коваленко Заигрова
11.07.23"
"7097
6447";11;"Театр и искусство. 1901, № 1-52, Театр и искусство. 1900, № 1-52, Театр и искусство. 1899, № 1-52, Театр и искусство. 1917, № 1-
52, Театр и искусство. 1916, № 1-52, Театр и искусство. 1915, № 1-52, Театр и искусство. 1914, № 1-52, Театр и искусство. 1913, № 1-16, Театр и искусство. 1913, №
17-34, Театр и искусство. 1913, № 35-44,
Театр и искусство. 1913, № 45-52.";Бережнова 25.07.2023
"7096
6446";10;"Театр и искусство. 1912, № 1-52, Театр и искусство. 1910, № 1-52, Театр и искусство. 1909, № 1-52, Театр и искусство. 1907, № 1-
52, Театр и искусство. 1906, № 1-25, Театр и искусство. 1906, № 26-52, Театр и искусство. 1905, № 1-52, Театр и искусство. 1903, № 1-52, Театр и искусство. 1902, № 1-
52, Театр и искусство. 1901, № 1-52 (кроме
3)";Бережнова 25.07.2023
"7098
6448";31;"Театр и искусство. 1913, № 1-26, Театрал. 1895, № 1-5, 6-9, 10-13, 14-16, 17-20, 21-25, 26-
29, 30-33, 34-38, 39-43, 44-46, 47-50,
Театральная декада. 1936 № 1-18(кроме 16), Театральная декада,  1935 № 19-34,
Театрал, 2007, № 1-7(кроме 6), Театрал,
2007, № 9-12, Театрал, 2007, № 9-12,
Театрал, 2009, № 1-12, Театрал, 2008, № 2-
12, Театрал, 2008, № 1, Театрал, 2006, № 1,
2, 3, 4, 5, 7/8, 9,10,  11, Театрал, 1896, №62-
65,66-69, 70-75, 76-79, 80-82, 83-85, 86-90, 91-
96, 97-100, 101-104, 105-108, 109-111, 112-121,
122-130, 131-138, 139-150, 163-167(кроме
165), Театрал, 1898, №166, Театрал, 1896, №
83 (фрагмент), Театрал, 1898, №167,
Театрал, 1898, №165,";Бережнова 25.07.2023
6794;107;"Театр и музыка (бюллетень)
1935 №1
Театр и спорт
1911 №132
Театр и студия
1922 № 1-2 (подшивка)
1922 № 1-2 (подшивка)
1922 № 1-2 (подшивка)
Театр. Литература. Музыка.
1922 №1-10 (подшивка)
Театр чудес 
2001 №0, №0, №0, №1, №1, №1, №2, №2, №2, № 3-4, № 3-4, № 3-4
2002 № 1-2, № 3-4
2003 № 1-2, № 1-2, 
2005 № 8 (спецвыпуск), № 8 (спецвыпуск)
2006 № 9
2009 № 1-2, № 1-2
2010 № 1\2, № 1\2, № 3\4, № 3\4
2011 № 1\2, №3\4
2012 №3
2013 № 1
2014 № 2
2015 № 1, № 2
Театрал 
2006 № 6
2017 № 1, №2, № 3, № 4, № 5, № 6, № 7\8, № 9, № 10, № 11, № 12
2018 № 1, № 2, № 3, № 4, № 5, № 6, № 7\8, № 9
2019 № 1, № 2, № 3, № 4, № 5, № 6, № 7\8, № 9, № 10, № 11, № 12
2020 № 1, № 2, № 3, № 4, № 8\9, № 10, №11, №11, № 12
2021 № 1, № 2, № 3, № 4, № 5, № 6, № 7\8, № 9, № 10, № 12
2022 № 1, № 2, № 3, № 4, № 5, № 6, № 7\8, № 9, № 10, № 11, № 12
2023 № 1, № 2, № 3, № 4, № 4, № 6, № 7\8, №7\8

";Антонова Коваленко 11.07.2023
"7089
6439";21;"Театр, 1961, № 1 – 3, 4 – 6, 7 – 9, 10 – 12. 1962,
№ 1 – 3, 4 – 6, 10 – 12.  1963, № 1 – 3, 4 – 6, 7 –
9, 10 – 12. 1964, № 1 – 3, 4 – 6, 7 – 9, 10 – 12.
1965, № 1 – 3, 4 – 6, 7 – 9, 10 – 12. 1966. № 1 –
3, 4 – 6";Акименко, Титунова 25.07.2023
"7086
6436";32;"Театр. 1937. № 7, 7, 8, 8, 9, 9
1938. № 1 – 4, 5 – 8, 9 – 12, 1939, № 1 – 4, 5, 6,
7, 8, 1939, № 9 – 12, 1940, № 1 – 3, 1 - 3, 4 - 6, 7
- 9, 10 – 12. 1941. № 1 – 3, 4 – 5. 1945. № 1 – 4.
1946. № 1 – 6, 7 – 11, 1947. №  1 - 6, 7 – 12,
1948. №  1 - 6, 7 – 12, 1949. №  1 - 3, 4 – 6, 7 - 9";Акименко, Титунова 25.07.2023
"7087
6437";27;"Театр. 1949. № 10 – 12, 1950. № 1 - 4, 5 – 8,
10, 9 – 12, 1951, № 1 – 4, 5 – 8, 9 – 12, 1952, №
1 – 3, 4 – 6, 7 – 9, 10 – 12, 1953, № 1 – 3, 4 – 6, 7
– 9, 10 – 12, 1954, № 1 – 3, 4, 5 – 6, 7 - 9, 10 –
12, 1955, № 1 – 2, 3 - 4, 5 - 6, 7- 8, 9 – 10, 11 -12";Акименко, Титунова 25.07.2023
"7088
6438";24;"Театр. 1956. № 1 – 3, 4 – 6, 7 – 9, 10 – 12, 1957,
№ 1, 1 – 3, 4 – 6, 7 – 8, 9 – 10, 11 - 12, 1958, №
1 – 3, 4 – 6, 7 – 9, 10 – 12, 1959, № 1 – 2, 3 – 4, 5
– 6, 7 – 8, 9 – 10, 11 – 12, 1960, № 1 – 3, 4 – 6, 7
– 9, 10 – 12";Акименко, Титунова 25.07.2023
"7090
6440";25;"Театр. 1966. № 7 – 9, 10 – 12, 1967, № 1 – 3, 4
– 6, 7 – 9, 10 – 12. 1968, № 1 – 3, 4 – 6, 7 – 8, 10
– 12. 1969, № 1 - 3, 4 – 6, 7 – 9, 10 – 12, 1970.
№ 1 – 3, 4 – 6, 7 – 9, 10 – 12. 1971. № 1 – 3, 4 -
6, 7 – 9, 10 – 12, 10, 1972. № 1 – 2, 3 - 4";Акименко, Титунова 25.07.2023
"7091
6441";33;"Театр. 1972. № 5 - 6, 7 – 8, 9 – 10, 11 – 12,
1973, № 1 – 2, 3 – 4, 5 – 6, 7 – 8, 9 – 10, 11 – 12.
1974. № 1 – 2, 3 – 4, 5 – 6, 9 – 10, 11 – 12. 1975.
№ 7 – 8, 9 – 10, 11, 11 – 12. 1976. № 1 – 2, 3 –
4, 5 – 6, 7 – 8, 9 – 10, 11 – 12, 1977, № 1 – 2, 3 –
4, 5 – 6, 7 – 8, 9 – 10, 11 – 12, 12, 1978. № 2 .";Акименко, Титунова 25.07.2023
"7092
6442";42;"Театр. 1978. № 1 – 2, 3, 3-4, 5, 5-6, 6, 7, 7-8, 8,
9-10, 10, 11, 12, 11-12, 1979. № 1-2, 3-4, 5-6, 7-
8, 9, 12, 11-12, 1980. № 1-2, 1, 3-4, 5-6, 7-8, 9-
10, 11-12, 1981. № 1-2, 3-4, 5-6, 9-10, 10, 11, 11-
12, 1982. № 1-2, 3-4, 5-6, 6, 7-8, 9-10, 11-12.";Бережнова 25.07.2023
