Номер коробки;"КОЛ-ВО
экз. в коробке";"Обзорное описание изданий
(Название, год и номера или подшивки)";Примечания
5328;67;"Авансцена. 2002. [№ 1]
Искусство народов мира. (2005. № 15/16, 2006,
№ 11), 2007, № 1 - 12
Кино-газета. 1918. № 10
Крестьянская газета. Кино и театр. 1936. (№ 25
– 99) - подшивка из разрозненных номеров Лiтература i мастацтва. 2023. № 1, 2, 3, 4, 5, 6,
7, 8, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23,
24, 25, 26, 28
Мир живописи. 2002. № 1, 10, 2014, № 1/2, 11/12, 2016, № 1/2, 8/10, 11/12, 2017, № 3/4,
9/10, 11/12, 2019, № 3/4, 5/6, 7/8
Мир культура России. 2003. № 11/12 Опера & балет. 2017. № 9.
Правда Севера. 2013. № 149
Сибирский колизей. 2006. № 1, 2-7, 2007, № 5
Театр кукол. 2017, № 1, 2, 3, 2017, № 1, 2, 3
Театральная газета. 2007. № 2, 2016, № 10, 11
Burda Moden. Инструкции. 1991. № 1, 2, 3, 5, 9,
10, 11, 1993, № 12
Theatre Arts Monthly. 1931. № 7 - 12
Theatre Arts Monthly. 1933. № 1 - 5";Пинто Титунова 1.08.2023
6942;38;"Аврора: 1969 (1-3), (4-6); 1970 (1-4),( 5-8), (9-
12); 1971 (1-3), (4-6), (7-9),(10-12); 1972 (1-3) ,
(4-6), (10-12); 1973 (1-3) , 4, 6, (7-9), (10 -12);
1974 ( 1-3), (4-6), (7-9), (10-12) ; 1975 (1-3), (4-
6), (7-9), (10-12) ;
1976 (1-3), (4-6), (7-9), (10-12); 1977 №( 1-3),
(4-6), (7-9), (10-12) ; 1978 № (1-3), (4-6), (7-9);
1979 (1-3), (4-6)";"Подготовил: Корокина, Акименко 22.07.23
с. 10-14"
6943;90;"Аврора: 1978 (10-12); 1979 (7-9), (10-12); 1980
(1-3), (4-6), (7-9), (10-12); 1981№ 1, 2,3, (4-6),
(7-9), (10-12); 1982 № (1-3), (4-6), (7-9);
1983 (1-3), (4-6), (7-9), (10-12); 1984 (1-3), (4-6),
(7-9), (10-12);
1985 (10-12); 1987 (1-3), (4-6), (7-9), (10-12);
1988 № (1-3), (4-6), (8-10), (11-12);
1989 (1-3), (4-6), (7-9), (10-12); 1990 № (1-3), 4,
5,7-9, 10, 12; 1991 № 1-12; 1992 № 1-12; 1993
№ 1, 2 , 5, 7-9, 10/11/12; 1994 № 1,2, 3/4, 5/6, 8,
9/10, 11/12 ; 1995 № 1,2,3,";"Подготовил: Корокина, Акименко 22.07.23
с. 10-14"
6944;101;"Аврора: 1995 № 4-12; 1996 № 1-12; 1997 №1-
12; 1998 № 1-2; 2001 № 1-4; 2002 № 1-5; 2003
№3, 4; 2004№ 3-6; 2005№ 3,4;
2006 № 1-5; 2007 № 1-6; 2008 № 2-6;
2009 № 1-6; 2010 № 1-6; 2001 №1-6; 2012 № 1-
6; 2013 № 3-6; 2014 № 1-6; 1915 №1-6
Академия Архитектуры: 1934 №1/2; 1935 №
(1/2-3) ; (4-6), 1936 (4-6)";"Подготовил: Корокина, Акименко 22.07.23
с. 10-14"
6857;33;"Автограф 
2005 № 1, 3-7 (подшивка)
2005 № 8–9;  2006 № 1–4, 6-9 (подшивка)
2006 № 8,  9; 2007 № 10, 1 (подшивка)
Арена
1991 № 1-48 (подшивка)
Арена
1992 № 1-22, 25-26 (подшивка)
Арт газета
2000 № 18, 28, 31, 33, 34, 37
Большой театр
2012 № 1-12 (подшивка)
2013 № 1-11 (подшивка)
Вешалка 
2013 Ноябрь
2014 Ноябрь
2015 Апрель
2016 Март
2016 Апрель - май
2016 Июнь – июль
2017 Ноябрь
2020 Февраль – март
Галерея
2001 № 10-11; 2002 № 1-6 (подшивка)
2004 № 11-12 (подшивка)
2005 № 1-12 (подшивка)
2006 № 1-11 (подшивка)
2007 № 1, 2, 4-11 (подшивка)
2008 № 1-12 (подшивка)
2009 № 1-6 (подшивка)
2010 № 1-12 (подшивка)
2011 № 1, 2, 4-6, 7-8, 10, 11 (подшивка)
2011 № 9, 12 (подшивка)
2012 № 1-12 (подшивка)
Декоративное искусство
2000 № 3

";Пушкина 18.07.20023
6573;74;"Авторское    право    и   смежные    права.    2019
№№10-12;  2020  №№  1-12;  2021  №№  1-3;  2022
№№ 1-12; 2023 №№ 1-2.
Интердизайн 1994 № 1;
Интернациональный театр. 1932. №№ 2 (2)-3;
1933. № 3-5; 3-6;
Интернациональный рабочий театр. 1931. № 2-3;
Иные берега. 2013 №№ 3-4; 2014 №№ 1-4;
Интерпресс- график. 1982. №№ 1-4; 1983 №№
1-4;  1984  №№  1-4;  1985  №№  1-4;  1986№№  1-4;
1987 №№ 1-4.";Болдырева Борисова 25.06.23
5094;99;"Академия моды 2022,окт.
Архитектура и время 2023 
Аксаковский дом 1998, №1(1)
                                    1999,№1(3)
 Башкирский край 2023 №1     
Балтийский Бродвей 2023 №5
Вестник Омской православной духовной семинарии 2020 №2
Вестник 8 марта ,8 дом актера 2009 спец выпуск
Вернисаж 2005 вып. 8
Вернисаж 2005 вып.  9
В едином строю 2022 №10
Великороссъ 2023 №1
Вестник МГУКИ 2023 №1
Вопросы культурологии 2023 №6
Вестник ВГИК 2023 №1
Вестник Южно-Уральского гос-го университета 2021 т 21 №1 
Венец 1998 №2
Диктатура 1999 декабрь
Гуманитарные и соц-но  экономические науки 2023 №3
Галерея дизайна и архитектуры 2022 №7
Галерея интерьеров2023 №1
Дагестан 2023 №2
Дом культуры 2023 №7
Дом Бурганова 2023 №3
Жги 2023 №1
Иностранная литература 2023 №7
Интеллектуальная собственность 2023 №3
Игровая библиотека 2023 33
Звезда 2023 №6
                       №7
Живая старина 2023 №2    
Искусство для всех 2014 №1
Концепт : философия, религия, культура 2023 т7 №2  
ККиномеханик 2023 №1
Книжки,нотки и игрушки для Катюшки и Андрюшкии    2023 №6
Культурное наследие России2022 №3
                                                                  №4
Кинорепартер 2023 №5
Личность и культура 2023 №3
Монеты Российской империи 2023 №40
Музыка для всех 2022 №1
Музыкантофф 2021 №1
Па 1990 май
Караван 2019 №11
Неман 2023 №6
Нижегородский 2004 №1/2
Новая деревня 2006 №3
Новосибирский журнал2003№6
Новая литература по социальным и гуманитарным наукам.История.Археология.Этнология.2023 №6
На русских просторах 2023 №2
Новый мир 2023 №7
Научные и технические библиотеки 2023 №6
Подолье2022 №1
РБК Стиль 2023  №4
Реликвариум 2022  №4
Роскошный дом 2014 №1
                                 2015 №1
Руссаград 2023 31
Советский фильм 1977 №5
Сказка и мир 2020 №2
                           2021 №2
Солнечное сплетение 2002 № 3-4
                                            2003 №5-6
Театральный проспект 2008 №1
Словесница искусств 2006 №17
Спутник кинозрителя 1976 №2
Старинная музыка 2023 № 2
Труды Академии технич. Эстетики и дизайна 2019 №2 
                 2020 №1
Театральный сезон 2008 №11
                                        2008 №11
                                       2008 №10
Текст. Книга. Киноиздания. 2022 № 30
Теория моды 2023 №68 лето
                                    №68 лето
Урал 2023 №7
Ученые записки 2023 №2
Фольклор и антропология города 2019 №3/4
Филармоник 2003 №1 
Час культуры 2023 №1 
Человек 2023 №3
Экополис 2023 №24
                             №25
Логос 2023 т33 №2
Гербовед 1993 №1
                   1993 №2
                    1993№1
Экземпляр 2023№4
Театр 1981 №7-8
Жизнь искусства 1923 №26-34,36,38,40-51
Наш изограф 2001 №9
                                     №10
                           2003 №1
                                     №8
                           2004 №1
                           2007 №5
                                   №6
                                   №7
";Коваленко Е.И.,
6945;104;"Алла: 1993 №1; 1994 №2, 1995 № 3, 4; 1996 №
6, 7,8; 1997 № 9,10/11;
Актуальные проблемы высшего музыкального образования: 2016 № 2;
2017№ 1-4; 2018 № 1-4; 2019 № 1-4;
2020 № 1-4; 2021 №1-4; 2022 № 1-3,5; 2023 №
1;
Альфа и Омега: 2003 № 1-4; 2004№ 1-3; 2005
№ 1-3; 2006 № 1-3; 2007 № 1-3; 2008 № 1-3;
2009 № 1-3;
Англия: 1962 № 1,3; 1963 № 5-7,1964 № 9-12;
1965 № 13-16; 1966 № 17-20; 1967 № 1,3,4;
1968 № 2-4; 1969 № 1-4; 1970 № 1-4;
1971 № 1-4 ; 1972 № 1-4; 1973№ 1-4; 1974 № 1-
4; 1975№ 1-4;";"Подготовил: Корокина, Акименко 22.07.23
с. 10-14"
6946;119;"Англия: 1976 № 1-4;1977 № 1-4; 1980 №1;
1982 № 1-4; 1983 № 1-4; 1984 № 1-4; 1985 № 1-
4; 1986 № 1-4; 1987 № 1-4; 1988 № 1-4; 1989 №
1-4; 1990 № 1-4;
Антропологический форум: 2005 № 2,3+
спец; 2006№ 4,5; 2012 № 17; 2017 № 33,35;
2020 № 47; 2021 № 51; 2022 № 52-55+спец;
Арион: 1994 № 1 (2 экз), 2-4;  1995 № 1,2; 1996
№ 1-4; 1997 № 1-4; 1998 № 1-4; 1999 № 1,2;
2001 № 1-4; 2002 № 1-4; 2003 № 1-4 ; 2004 №
1-4; 2007№ 1-4; 2008 № 2-4; 2009 № 1-4 ; 2010
№ 1,2, 4 ; 2011 №1-4; 2012 № 1-4;";"Подготовил: Корокина, Акименко 22.07.23
с. 10-14"
6947;24;"Арион: 2013 № 2-4; 2014 № 1-4; 2015 № 1-4;
2016;
Артист; 1889 (№ 1-4),1890 № (5-7), (8-11),
1891 (12-14), (15-18);1892 № (19-21), (№ 22 +
прил 1-5); 1893 № 27;";"Подготовил: Корокина, Акименко 22.07.23
с. 10-14"
