Номер коробки;"КОЛ-ВО
экз. в коробке";"Обзорное описание изданий
(Название, год и номера или подшивки)";Примечания
6675;53;"Арт 2021 № 4
Искусствознание 2015 №1/2
Культура и цивилизация 2020 Т.10 № 1А, 2А, 3А, 4А, 5А, 6А
Культура и цивилизация 2021 Т 11 № 1А, 2А, 3А, 4А, 5А, 6А
Культура. Наука, Образование 2020 № 2 (55)
Культура. Наука, Образование 2021 № 2 (59), 3(60), 4(61)
Культура. Наука, Образование 2022 № 1(61), 2(63), 3(64), 4(65)
Культура Петербурга 2001, № 1
Культура театра 1921 № 1-8
Культура театра 1922 № 1-2
Культура театра 1922 № 1-2
Культура театра 1922 № 1-2
Культура: управление, экономика, право 2005 № 4
Культура: управление, экономика, право, 2008 № 1, № 4
Культура Урала 2016 № 7, 8, 9, 10
Культура Урала 2017 № 1, 2, 3, 4, 5, 6, 7, 8, 9, 10
Культура Урала 2018 № 1, 2,3, 4, 5, 6, 7, 8, 9, 10

";"Путрова Т.В.
Прудникова С. В.

04.07.2023
"
6616;58;"Каданс 2017 номер 3
Казань 2022 номер 3
Казань 2022 номер 11
Казань 2022 номер 12
Казань 2023 номер 4
Казань 2023 номер 5
К свету 1996 номер 17
Кавказская рампа 1918 номер 1
Кавказская рампа 1918 номер 2
Караван историй 2000 номер 1
Караван историй 2000 номер 2
Караван историй 2000 номер 3
Караван историй 2000 номер 4
Караван историй 2000 номер 5
Караван историй 2000 номер 6
Караван историй 2000 номер 7
Караван историй 2000 номер 8
Караван историй 2000 номер 9
Караван историй 2000 номер 10
Караван историй 2000 номер 11
Караван историй 2000 номер 12
Караван историй 2001 номер 1
Караван историй 2001 номер 2
Караван историй 2001 номер 3
Караван историй 2001 номер 4
Караван историй 2001 номер 5
Караван историй 2001 номер 6
Караван историй 2001 номер 7
Караван историй 2001 номер 8
Караван историй 2001 номер 9
Караван историй 2001 номер 10
Караван историй 2001 номер 11
Караван историй 2001 номер 12
Караван историй 2002 номер 1
Караван историй 2002 номер 2
Караван историй 2002 номер 3
Караван историй 2002 номер 4
Караван историй 2002 номер 5
Караван историй 2002 номер 6
Караван историй 2002 номер 7
Караван историй 2002 номер 8
Караван историй 2002 номер 9
Караван историй 2002 номер 10
Караван историй 2002 номер 11
Караван историй 2002 номер 12
Караван историй 2003 номер 1
Караван историй 2003 номер 2
Караван историй 2003 номер 3
Караван историй 2003 номер 4
Караван историй 2003 номер 5
Караван историй 2003 номер 6
Караван историй 2003 номер 7
Караван историй 2003 номер 8
Караван историй 2003 номер 9
Караван историй 2003 номер 10
Караван историй 2003 номер 11
Караван историй 2003 номер 12
Караван историй 2004 номер 1

";"Никитина
Цыпленков
28.06.2023
"
6617;50;"Караван историй 2004 номер 2
Караван историй 2004 номер 3
Караван историй 2004 номер 4
Караван историй 2004 номер 5
Караван историй 2004 номер 6
Караван историй 2004 номер 7
Караван историй 2004 номер 8
Караван историй 2004 номер 9
Караван историй 2004 номер 10
Караван историй 2004 номер 11
Караван историй 2004 номер 12
Караван историй 2005 номер 1
Караван историй 2005 номер 2
Караван историй 2005 номер 3
Караван историй 2005 номер 4
Караван историй 2005 номер 5
Караван историй 2005 номер 6
Караван историй 2005 номер 7
Караван историй 2005 номер 8
Караван историй 2005 номер 9
Караван историй 2005 номер 10
Караван историй 2005 номер 11
Караван историй 2005 номер 12
Караван историй 2006 номер 1
Караван историй 2006 номер 2
Караван историй 2006 номер 3
Караван историй 2006 номер 4
Караван историй 2006 номер 5
Караван историй 2006 номер 6
Караван историй 2006 номер 7
Караван историй 2006 номер 8
Караван историй 2006 номер 9
Караван историй 2006 номер 10
Караван историй 2006 номер 11
Караван историй 2006 номер 12
Караван историй 2007 номер 1
Караван историй 2007 номер 2
Караван историй 2007 номер 3
Караван историй 2007 номер 4
Караван историй 2007 номер 5
Караван историй 2007 номер 6
Караван историй 2007 номер 7
Караван историй 2007 номер 8
Караван историй 2007 номер 9
Караван историй 2007 номер 10
Караван историй 2007 номер 11
Караван историй 2007 номер 12
Караван историй 2008 номер 1
Караван историй 2008 номер 2
Караван историй 2008 номер 3
";Никитина Цыпленков 28.06.2023
6618;61;"Караван историй 2008 номер 4
Караван историй 2008 номер 5
Караван историй 2008 номер 6
Караван историй 2008 номер 7
Караван историй 2008 номер 8
Караван историй 2008 номер 9
Караван историй 2008 номер 10
Караван историй 2008 номер 11
Караван историй 2008 номер 12
Караван историй 2009 номер 1
Караван историй 2009 номер 2
Караван историй 2009 номер 3
Караван историй 2009 номер 4
Караван историй 2009 номер 5
Караван историй 2009 номер 6
Караван историй 2009 номер 7
Караван историй 2009 номер 8
Караван историй 2009 номер 9
Караван историй 2009 номер 10
Караван историй 2009 номер 11
Караван историй 2009 номер 12
Караван историй 2010 номер 1
Караван историй 2010 номер 2
Караван историй 2010 номер 3
Караван историй 2010 номер 4
Караван историй 2010 номер 5
Караван историй 2010 номер 6
Караван историй 2010 номер 7
Караван историй 2010 номер 8
Караван историй 2010 номер 9
Караван историй 2010 номер 10
Караван историй 2010 номер 11
Караван историй 2010 номер 12
Караван историй 2011 номер 1
Караван историй 2011 номер 2
Караван историй 2011 номер 3
Караван историй 2011 номер 4
Караван историй 2011 номер 5
Караван историй 2011 номер 6
Караван историй 2011 номер 7
Караван историй 2011 номер 8
Караван историй 2011 номер 9
Караван историй 2011 номер 10
Караван историй 2011 номер 11
Караван историй 2011 номер 12
Караван историй 2012 номер 1
Караван историй 2012 номер 2
Караван историй 2012 номер 3
Караван историй 2012 номер 4
Караван историй 2012 номер 5
Караван историй 2012 номер 6
Караван историй 2012 номер 7
Караван историй 2012 номер 8
Караван историй 2012 номер 9
Караван историй 2012 номер 10
Караван историй 2012 номер 11
Караван историй 2012 номер 12
Караван историй 2013 номер 4
Караван историй 2013 номер 5
Караван историй 2013 номер 6
Караван историй 2013 номер 8
";Никитина Цыпленков 28.06.2023
6619;85;"Караван историй 2013 номер 9
Караван историй 2013 номер 10
Караван историй 2013 номер 11
Караван историй 2013 номер 12
Караван историй 2014 номер 1
Караван историй 2014 номер 2
Караван историй 2014 номер 3
Караван историй 2014 номер 4
Караван историй 2014 номер 5
Караван историй 2014 номер 6
Караван историй 2014 номер 7
Караван историй 2014 номер 8
Караван историй 2014 номер 9
Караван историй 2014 номер 10
Караван историй 2014 номер 11
Караван историй 2014 номер 12
Караван историй 2015 номер 1
Караван историй 2015 номер 2
Караван историй 2015 номер 3
Караван историй 2015 номер 4
Караван историй 2015 номер 5
Караван историй 2015 номер 6
Караван историй 2015 номер 7
Караван историй 2015 номер 8
Караван историй 2015 номер 9
Караван историй 2015 номер 10
Караван историй 2015 номер 11
Караван историй 2015 номер 12
Караван историй 2016 номер 1
Караван историй 2016 номер 2
Караван историй 2016 номер 3
Караван историй 2016 номер 4
Караван историй 2016 номер 5
Караван историй 2016 номер 6
Караван историй 2016 номер 7
Караван историй 2016 номер 8
Караван историй 2016 номер 9
Караван историй 2016 номер 10
Караван историй 2016 номер 11
Караван историй 2016 номер 12
Караван историй 2017 номер 1
Караван историй 2017 номер 2
Караван историй 2017 номер 3
Караван историй 2017 номер 4
Караван историй 2017 номер 5
Караван историй 2017 номер 6
Караван историй 2017 номер 7
Караван историй 2017 номер 8
Караван историй 2017 номер 9
Караван историй 2017 номер 10
Караван историй 2017 номер 11
Караван историй 2017 номер 12
Караван историй 2018 номер 1
Караван историй 2018 номер 2
Караван историй 2018 номер 3
Караван историй 2018 номер 4
Караван историй 2018 номер 5
Караван историй 2018 номер 6
Караван историй 2018 номер 7
Караван историй 2018 номер 8
Караван историй 2018 номер 9
Караван историй 2018 номер 10
Караван историй 2018 номер 11
Караван историй 2018 номер 12
Караван историй 2019 номер 1
Караван историй 2019 номер 2
Караван историй 2019 номер 3
Караван историй 2019 номер 4
Караван историй 2019 номер 5
Караван историй 2019 номер 6
Караван историй 2019 номер 7
Караван историй 2019 номер 8
Караван историй 2019 номер 9
Караван историй 2019 номер 10
Караван историй 2019 номер 12
Караван историй 2020 номер 1
Караван историй 2020 номер 2
Караван историй 2020 номер 3
Караван историй 2020 номер 4
Караван историй 2020 номер 5
Караван историй 2020 номер 6
Караван историй 2020 номер 7
Караван историй 2020 номер 8
Караван историй 2020 номер 9
Караван историй 2020 номер 10
";Никитина Цыпленков 28.06.2023
6620;92;"Караван историй 2020 номер 11
Караван историй 2020 номер 12
Караван историй 2021 номер 1
Караван историй 2021 номер 2
Караван историй 2021 номер 3
Караван историй 2021 номер 4
Караван историй 2021 номер 5
Караван историй 2021 номер 6
Караван историй 2021 номер 7
Караван историй 2021 номер 8
Караван историй 2021 номер 9
Караван историй 2021 номер 10
Караван историй 2021 номер 11
Караван историй 2021 номер 12
Караван историй 2022 номер 1
Караван историй 2022 номер 2
Караван историй 2022 номер 3
Караван историй 2022 номер 4
Караван историй 2022 номер 5
Караван историй 2022 номер 6
Караван историй 2022 номер 7
Караван историй 2022 номер 8
Караван историй 2022 номер 9
Караван историй 2022 номер 10
Караван историй 2022 номер 11
Караван историй 2022 номер 12
Караван историй 2023 январь
Караван историй 2023 февраль
Караван историй 2023 май
Картины по русской истории 1993 номера 1-5;
Картины по русской истории 1994 номера 6-9;
Кинема 2021 номер 1;
Киевский театральный курьер 1913 номер 1636;
Киногазета 1925 номера 14, 16, 17,20-22, 24, 26-35, 38-41, октябрь;
Кино 1922 номера 1-4;
Кино 1923 номера 1/5, 4/8, 5/9;
Кино еженедельная газета 1926 номера 1-8;
Кинобизнес сегодня 2003 номера 14-26
Кинобизнес сегодня 2006 номера 1-12
Кинобизнес сегодня 2006 номера 13-25
Кинобизнес сегодня 2007 номера 1-12
Кинобизнес сегодня 2007 номера 13-24
Кинобизнес сегодня 2008 номера 1-12
Кинобизнес сегодня 2008 номера 13-24
Кинобизнес сегодня 2008 номер 28 – 2009 номер 10;
Кинобизнес сегодня 2009 номера 11-24
Кинобизнес сегодня 2010 номера 1-10
Кинобизнес сегодня 2010 номера 11-12-23
Кинобизнес сегодня 2011 номер 1
Кинобизнес сегодня 2011 номер 2
Кинобизнес сегодня 2011 номер 3
Кинобизнес сегодня 2011 номер 4-5
Кинобизнес сегодня 2011 номер 6
Кинобизнес сегодня 2011 номер 7
Кинобизнес сегодня 2011 номер 8А
Кинобизнес сегодня 2011 номер 9
Кинобизнес сегодня 2011 номер 10-11
Кинобизнес сегодня 2011 номер 12А
Кинобизнес сегодня 2011 номер 14-15
Кинобизнес сегодня 2011 номер 16-17
Кинобизнес сегодня 2011 номер 18-21
Кинобизнес сегодня 2011 номер 24-25
Кинобизнес сегодня 2012 номер 1-3
Кинобизнес сегодня 2012 номер 4-5
Кинобизнес сегодня 2012 номер 6-7
Кинобизнес сегодня 2012 номер 8-9
Кинобизнес сегодня 2012 номер 2А
Кинобизнес сегодня 2012 номер 12-13
Кинобизнес сегодня 2012 номер 14
Кинобизнес сегодня 2012 номер 15
Кинобизнес сегодня 2012 номер 16
Кинобизнес сегодня 2012 номер 17
Кинобизнес сегодня 2012 номер 18
Кинобизнес сегодня 2012 номер 22-24
Кинобизнес сегодня 2013 номер 4-5
Кинобизнес сегодня 2013 номер 6-7
Кинобизнес сегодня 2013 номер 9-10
Кинобизнес сегодня 2013 номер 8
Кинобизнес сегодня 2013 номер 11
Кинобизнес сегодня 2013 номер 12
Кинобизнес сегодня 2014 номер 1-2
Кинобизнес сегодня 2014 номер 3
Кинобизнес сегодня 2014 номер 4
Кинобизнес сегодня 2014 номер 5
Кинобизнес сегодня 2014 номер 6
Кинобизнес сегодня 2014 номер 7-8
Кинобизнес сегодня 2014 номер 9
Кинобизнес сегодня 2014 номер 10
Кинобизнес сегодня 2014 номер 12
Кинобизнес сегодня 2015 номер 1-2
Кинобизнес сегодня 2015 номер 4-5
Кинобизнес сегодня 2015 номер 3
Кинобизнес сегодня 2015 номер 6
";Никитина Цыпленков 28.06.2023
6638;227;"Кино-глаз: 1991 №1,1992 №1-3, 1996 №1,1997
№16,17
Кинограф:1996 №1-3,№4. 1998 №5, 1999№7, 2000 №8,9
Киножурнал: 1926 №1-3, 1925№4,5,8-12
Кино и жизнь:1929 №1-4 (2 экз.),1930 № 1-36 Кино и культура: 1929 №2,3,5,6,9,10.  1929№ 1,3,4,7,8. 1929 № 7,8. 1930 № 1-12.
Кино,театр,спорт: 1923 №9
Киномеханик: 2012 №1-6,  2013 №1-6,  2014 №
1-6, 2015 № 1-6,  2016 №1-6, 2017 № 1-6, 2018 №
1-6, 2019 № 1-6,  2020 1-4 ,2021 № 4 ,2022 № 1-4.
Кино-неделя:1924 №33-44,
Кинопарк: 1997 № 1-7, 1998 № 1-5, 1998 № 6-12
, 1999 № 1-6,  1999 № 7-12,  2000 № 1-6, 2000 №7-
12, 2001 № 1-6, 2001 № 7-12";"Кольцова Ж. Баранова М.
30.06."
6639;120;"Кинопарк: 2002 №1-5,6-10,11,12.  2003 №1-12,
2004 №1-12.  2005 № 1-12,  2006 №1-12, 2007 №1-
6, 8-11.№12 (2 экз.) 2008 № 1-12, 2009№1-12,
2010№1-12, 2011№1-12";"Кольцова Е. Баранова М.
30.06."
6640;87;"Кинопарк: 2012 № 1-12.
Кинопроцесс: 2002 № 1,2-6,  2000 № 1,4,5. 1999
№ 4,5.  2003 № 1-6 .  2004 № 3-4 (2 экз.) 2005 №
1,2,5,6.  2006 №1,2,3,4,5,6.  2007 № 1.2.3  2008 №
1.2.3.4.5-6.  2010 № 7,8,9,10,11,12,13,14.  2011 №
1.2.3 . 2012 № 1.2.3.4. 2013 №1.2.
Кинорепортер: 2023 № 2.  2022/2023 № 4 2022
№ 2,3.  2020 №2,3, 4,12. 2019 № 12,11,10,9,7-8.";"Кольцова Е. Баранова М.
30.06."
6641;99;"Кинорепортер: 2019№2,3,4. 2018№ 5.
Кинорепертуар: 1932№ 1-12. 1930№ 7. 1034№
10-12. 1933 № 1,4,5,9.
Киносценарий: 1978№1. 1979№2  1989№1. 2000№6.  2001№ 1,2,3,4.5,6.  2002№1,2,3,4.5-6.
2003№1,2-3,4,5,6.  2004№1,2-3,4-5,6. 2005№1,2-
3,4,5-6.  2006№1,2-3,4,5-6.  2007№1,2-3,4,5-6.
2008№1,2-3,4,5-6.  2009№1-3,4-6.  2010№1-3,4-6.
2011№1-3,4-6.
Кинотруд: 1918№1.
Кино-театр: 1918№1-2,4. Кино-фот:1923№6.";"Кольцова Е. Баранова М.
30.06"
