Номер коробки;"КОЛ-ВО
экз. в коробке";"Обзорное описание изданий
(Название, год и номера или подшивки)";Примечания
6733;104;"Наука и искусство 1926 №1,1
Наследие 2008 №1,2,3,
Научное мнение 2012 №1,2,3,4,5,6/7, 8,9,10,11,12
Искусствознание, история, теория , практика 2017 №1,2,3
Искусствознание, история, теория , практика 2018 №1,3
Искусствознание, история, теория , практика 2019 №1,3
Искусствознание, история, теория , практика 2020 №1,2,3,
Искусствознание, история, теория , практика 2021 №2,3
Искусствознание, история, теория , практика 2022 №1,3
Искусствознание, история, теория , практика 2023 №1
Научные и технические библиотеки 
2020 №1,2,3,4,5,6,7,8,9,10,11,12
Научные и технические библиотеки 
2021 №1,2,3,4,5,6,7,8,9,10,11,12
Научные и технические библиотеки 
2022 №1,2,3,4,6,7,8,9,10,11,12
Научные и технические библиотеки 
2023 №1,2,3,4,5
Наш дом Татарстан 2023  №1
Наш дом Татарстан 2022  №6
Наш Крым 2023 №1
Наш театр 2005 №9,10,11,9,10,11
Наше кино 2007 №1,2,3,4,5,6
Наше кино 2008 №1,2,3
Наша неделя 1912 №24,43
Наша неделя 1913 №9/10,12/13,14/15,27/28
Наше наследие 1988 №2,5
Наше наследие 1989 №1,2,3,4,5,6
";"Евдокимова Л.В.,
Титунова И.Б.
"
5257;74;"Наука телевидения. 2011, № 8, 2012, № 9, 2013,
№ 10, 2014, № 11, 2016, Т. 12, № 1, 2, 3, 4, 2017, Т.
13, № 1, 2, 3, 4, 2018, Т. 14, № 1, 2, 3, 4, 2019, Т. 15,
№ 1, 2, 3, 4, 2020, Т. 16, № 1, 2, 3, 4, 2021, Т. 17, №
2, 4, 2022, Т. 18, № 1; 2, ч. 1; 2, ч. 2, 3, 4, 2023, Т.
19, № 1
Научный вестник  Московской
консерватории. 2016, № 1, 2, 3, 4, 2017, № 1, 2,
3, 4, 2018, № 1, 2, 3, 4, 2019, № 1, 2, 3, 4, 2020, №
1, 2, 3, 4,  2021, № 1, 2, 3, 4, 2022, № 1, 2, 3, 4, 2023,
№ 1
На посту. 1923 № 2/3
На литературном посту. 1926. № 3, 1929, № 14,
1931, № 8, 1932, № 3
Начала. 1994. № 1
Наш современник. 1964. № 1 – 3, 4 – 6, 7 - 8, 9,
10 – 12, 1965, № 1 – 3, 4 - 6";Акименко Титунова 31.07.2023
5258;34;"Наш современник. 1965. № 7 – 9, 10 – 12, 1966,
№ 1 - 3, 4 – 6, 7 – 9, 10 – 12, 1967, № 1 – 3, 4 – 6, 7 –
9, 1968, № 1, 2, 4 – 6, 7 – 9, 10 – 12, 1969, № 1 – 3, 4
– 6, 7 – 9, 10 – 12, 1970, № 1 – 3, 4 – 6, 7 – 9, 10 –
12, 1971, № 1 – 3, 4 – 6, 7 – 9, 10 – 12, 1972, № 1 –
3, 4 – 6, 7 – 9, 10 – 12, 1973, № 1 – 3, 4 – 6, 7 – 9, 10
- 12";Акименко Титунова 31.07.2023
5259;27;"Наш современник. 1974, № 1 – 3, 4 – 6, 7 – 9, 10
– 12, 1975. № 1 – 3, 4 – 6, 7 – 9, 10 – 12, 1976. № 1 –
3, 4 – 6, 7 – 9, 10 – 12, 1977, № 1 – 3, 4 – 6, 7 – 9, 10
– 12, 1978, № 1 – 3, 4 – 6, 7 – 9, 10 – 12, 1979, № 1 –
3, 4 – 6, 4, 5, 6, 7 – 9, 10 - 12";Акименко Титунова 31.07.2023
5260;31;"Наш современник. 1980, № 1 – 3, 4 – 6, 7 – 9, 10
– 12, 1981, № 1 – 3, 4 – 6, 7 – 9, 10 – 12, 1982, № 1 –
3, 4 – 6, 7 – 9, 10, 11, 12, 1983, № 1 – 2, 3 – 4, 5 – 6,
7 – 8, 9 – 10, 11 – 12, 1984, № 1 – 3, 4 – 6, 7 - 8, 9 –
10, 11 – 12, 1985, № 1 – 2, 3 – 4, 5 – 6, 7 – 8, 9 – 10,
11 – 12";Акименко Титунова 31.07.2023
5261;44;"Наш современник. 1986, № 1 – 2, 3 – 4, 5 – 6, 7 –
8, 9 – 10, 11 – 12, 1987. № 1 – 3, 4 – 6, 7 – 9, 10 – 12,
1987, № 1, 2, 3, 4, 5, 6, 7, 10, 11, 12, 1988, № 1 – 3, 4
– 6, 7 – 9, 10 – 12, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12,
1989,  № 1 – 3, 4 – 6, 7 – 9, 10 – 12, 1990, №  1 – 2,
3, 4 – 6, 7 – 8";Акименко Титунова 31.07.2023
5262;74;"Наш современник. 1990. № 9 – 10, 11 – 12, 1991,
№ 1 – 3, 4, 4, 5, 5, 6, 6, 7, 7, 10, 11, 11, 12, 12, 1994,
№ 1, 2, 3, 4, 5, 6, 7, 8, 1995, № 1, 2, 3, 4, 5, 6, 7, 8, 9,
10, 11, 12, 1996, № 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12,
1997, № 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 1998, № 1,
2, 3, 4, 5, 6, 7, 8, 9, 10, 11/12,
Нева. 1955, № 1 – 3, 4 – 6, 7 - 9";Акименко Титунова 31.07.2023
6734;72;"Наше наследие 1990 №1,2,3,4,5,6
Наше наследие 1991 №1,2,3,3,4,5,6
Наше наследие 1992 №25,26
Наше наследие 1993 №27,27,28
Наше наследие 1994 №29/30,31,32
Наше наследие 1995 №33,34,34,35/36,35/36, 
Наше наследие 1996 №37,38,39
Наше наследие 1997 №39/40,41,42,43/44
Наше наследие 1998 №45,46,47
Наше наследие 1999 №48,49,50/51
Наше наследие 2000 №52,53,54,55
Наше наследие 2001 №56,57,58,59/60
Наше наследие 2002 №61,62,63/64
Наше наследие 2003 №65,66,67/68
Наше наследие 2004 №69,70,71,72
Наше наследие 2005 №73,74,75/76,75/76
Наше наследие 2006 №77,78,79/80
Наше наследие 2007 №81,82,83/84
Наше наследие 2008 №85,86,87/88
";"Евдокимова Л.В.,
Титунова И.Б."
6735;63;"Наше наследие 2009 №89/90,91/92 Наше наследие 2010 №93/94, 95,96 Наше наследие 2011 №97,98,99,100 Наше наследие 2012 №101,102,103,104 Наше наследие 2013 №105,106,107,108 Наше наследие 2014 №109,110,111,112 Наше наследие 2015 №113,114,115,116 Наше наследие 2016 №117,118,119,120 Наше наследие 2017 №121,122,123,124 Наше наследие 2018 №125,126,127/128 Нева 2018 №1,2,3,4,5,6,7,8,9,10,11,12
Нева 2019 №1,2,3,4,5,6,7,8,9,10,11,12
Нева 2020 №1,2,3";"Евдокимова Л.В.,
Титунова И.Б."
5264;22;"Нева 1961 № 4-6, 7-9, 10-12; 1962  № 1-3, 4-6, 7-9,
10-12; 1963 № 1-3, 4-6, 7-9, 10-12; 1964 1-3, 4-6, 7-9,
10-12; 1965 1-3, 4-6, 7-9, 9, 10-12; 1966 1-3, 4-6";"Акименко
Пинто 31.07.2023"
