Номер коробки;"КОЛ-ВО
экз. в коробке";"Обзорное описание изданий
(Название, год и номера или подшивки)";Примечания
6861;44;"2014 весна вып 31, лето вып. 32, осень вып 33
2014-2015 зима вып. 34
2015 весна вып 35, лето вып. 36, осень вып 37
2014-2015 зима вып. 38
2016 весна вып 39, лето вып. 40, осень вып 41
2015-2016 зима вып.42
2016 весна вып 43, лето вып. 44, осень вып 45
2016-2017 зима вып. 46
2017 весна вып 47, лето вып. 48, осень вып 49
2017-2018 зима вып. 50
2018 весна вып 51, лето вып. 52, осень вып 53
2018-2019 зима вып. 54
2019 весна вып 51 лето вып. 52, осень вып 53
2019-2020 зима вып. 54
2020 весна вып 59, лето вып. 60, осень вып 61
2020-2021зима вып. 62
2021 весна вып 63, лето вып. 64, осень вып 65
2021-2022 зима вып. 66
2022 весна вып 63, лето вып. 64, осень вып 65
2022-2023 зима вып. 64
2023 весна вып. 67
Экополис
2021 № 18
2022 № 22, 23








";"Заигрова Коваленко
18.07.2023"
"7040
6390";27;"Искусство №4 2013; Искусство Практика. Специальный проект; Искусство №1 2014; Искусство №4 2014; Искусство № 3 2014; Искусство №2 2014; Искусство №4 2016; Искусство №2 2016; Искусство №1 2016; Искусство №4 2015; Искусство №3 2015; Искусство №2 2015; Искусство №1 2015; Искусство №3 2016; Искусство №1 2017; Искусство №2 2017; Искусство №3 2017; Искусство №4 2017; Искусство №1 2018; Искусство №2 2018; Искусство №3 2018; Искусство №4 2018; Искусство №1 2019; Искусство №2 2019; Искусство №3 2019; Искусство №4 2019; Искусство №1-2 2020; Искусство №3 2020; Искусство №4 2020; Искусство №1 2021; Искусство №2 2021; Искусство №3 2021; Искусство: Учебно-методический журнал №9 2012; Искусство: Учебно-методический журнал №1-8, 9, 10 2012; Искусство: Учебно-методический журнал №1-12 2015; Искусство: Учебно-методический журнал для учителей МХК, музыки и ИЗО №2 2014; Искусство: Учебно-методический журнал для учителей МХК, музыки и ИЗО №3 2014; Искусство: Учебно-методический журнал для учителей МХК, музыки и ИЗО №4 2014; Искусство: Учебно-методический журнал для учителей МХК, музыки и ИЗО №5-6 2014; Искусство: Учебно-методический журнал для учителей МХК, музыки и ИЗО №1-12 2013; Искусство: Учебно-методический журнал для учителей МХК, музыки и ИЗО №2 2014;";Евдокимова Л.В. Суслова Е.В.
6717;48;"Манускрипт 2020 №1,2,3,4,5,6,7,8,9,10,10,11,12
Манускрипт 2021 №2,12,11,10,10,9,8,7,6,5,4,3
Маски 1912 №3, 1-4,1,2
Маски 1912-1913 №5,6,4-5,6,4
Маски 1914 -1915 №1,1
Маски 1913 -1914 №7-8,1-3,4-6,2,1,4,7-8,3,5
Маски современной культуры 2000 2,3 Марксистско- ленинское искусствознание 1932 №4,3,2,1
Мастера 1994 №1";"Евдокимова Л.В.,
Титунова И.Б."
6718;72;"Мастерство театра1922 №1,1
Мастерство театра1923 №2,2
Материалы для клубной сцены 1929 №7-8,1-12,7-8,6,5,2,1
Материалы для клубной сцены 1928 №1-2
Матадор 1997 №6,5,4,3,2,1
Мебель от А до Я 1997 №4,,3,1-2
Мебель от А до Я 1996 ноябрь-декабрь
Мебель от А до Я 1998 №10,9,8,7,5
Мебель от А до Я 1999 №14,15,13,12
Мебель от А до Я  2000 №20,19,18,17,16
Мебель от А до Я 2001 №21,22
Медиатека  2010 №1-4,1-4
Медиатека 2009 №1-4
Медиатека 2007 №1-3
Медиатека 2006 №1-4
Медиатека и мир 2015 № 4,3,2,1
Медиатека и мир 2014 № 4,3,2,1
Медиатека и мир 2013 № 4,3,2
Медиатека и мир 2012 № 3,2,1,
Медиатека и мир 2011 № 4,4,2,1
Мелодия 1979 №1
Мелодия 1980 №1/3
Мелодия 1981 №1-4
Мелодия 1983 №1-4
Мелодия 1982 №1-4
Мелодия 1984 №1-4
Мелодия 1985 №2-4
Мелодия 1986 №1-4
Мелодия 1987 №1-4
Мелодия 1988 №1-4
Мелодия 1989 №1-4
";"Евдокимова Л.В.,
Титунова И.Б."
6722;53;"МГУКИ вестник 2009 №1,2,3,4,5,
МГУКИ вестник 2010 №1,2,3,4,5,6
МГУКИ вестник 2011 №1,2,3,4
МГУКИ вестник 2012 №1,2,3,4,5,6
МГУКИ вестник 2013 №1,2,3,4,5,6
МГУКИ вестник 2014 №1,2,3,4,5,6
МГУКИ вестник 2015 №1,2,3,4,5,6
МГУКИ вестник 2016 №1,2,3,4,5,6
МГУКИ вестник 2017 №1,3,4,5,6
МГУКИ вестник 2018 №1,3,4
";"Евдокимова Л.В.,
Титунова И.Б."
6723;70;"МГУКИ вестник 2018 №5,6
МГУКИ вестник 2019 №1,2,6
МГУКИ вестник 2020 №1,2,3,4,5,6
МГУКИ вестник 2021 №1,2,3,4,5,6
МГУКИ вестник 2022 №1,2,3,4,5,6
МГУКИ вестник 2023 №1
Московский еженедельник 1907 №9-12-28-43/ 1908 №31, 1
Монеты Российской империи 2022 №12
Монеты Российской империи 2023 №21,32,31
Мономах 2022 №5
Мономах 2023 №1
Московский клуб 1993 №1,2
Московский краевед 2022 №1,2
Московский наблюдатель 1991 №1
Московское наследие 2011 №7
Московское наследие 2017 №3
Московское наследие 2021 №1
Московский наблюдатель 1991 №1,2,3,4,5,6/7,8/9,10,11,12
Московский наблюдатель 1991 №2-12
Московский наблюдатель 1992 №1-12
Московский наблюдатель 1992 №1,2,3,4,4,5/6,7/8,9,10,11/12
Московский наблюдатель 1993 №1-10 (2 шт)
Московский наблюдатель 1993 №8/9,11/12,11/12
Московский наблюдатель 1994 №1-6
Московский наблюдатель 1994 №1/2,3/4

";"Евдокимова Л.В.,
Титунова И.Б.
"
6719;96;"Мелодия 1994 №1-6/7
Мелодия 1998 №1-2,3
Мелодия 1997 №7-8
Мелодия 1993 №1-2
Мелодия 1996 №1-7/8
Мелодия 1995 №1-6/7
Мелодия 1997 №3/4
Мелодия 1991 №1-2
Мелодия 1999 №4/5,3,1/5,1/2
Мелодия 2000 №6,4/5,3,2,1,
Мелодия 2001 №6,4/5,3,1/2,
Мелодия 2002 №6,4/5,3,1-2
Мелодия 2003 №6,4/5,,3,1/2,
Мелодия 2004 №5/6,3,1/2
Мелодия 2005 №1-6
Методические материалы и рекомендации 1962 № 16-24,16-24
Меценат  и мир 1996 №2/1997 №1 (2 экз)
Меценат  и мир 1996 №2-3 (2 экз), 1
Меценат  и мир 1997/98 №6-7
Меценат  и мир 2000 №11-13
Мир детского театра 1999 №0
Мир детского театра 2000 №1
Мир дизайна 1998  №1,2
Мир дизайна 1999  №1,2,3,4
Мир дизайна 2000  №1,2
Мир дизайна 2001  №1
Мир 1993 №3-6
Мир и музей 2001 №6
Мир искусства 1899 № 1-2-7-12, 13-15-18-19-21-22, 20
Мир искусства 1900 №11-12
Мир искусства 1902 №1
Мир искусства 1904 №3
Мир кукол 2012 №37,36
Мир кукол 2008 №2
Мир марок 2008  №2
Мир марок 2011  №4,5,6
Мир марок 2012  №2,1,3,4,5-6
Мир марок 2013  №3,4,5,6
Мир марок 2014  №1,2,3,4,5,6
Мир марок 2015  №1-2,3
Мир марок  и монет 2009  №1,2
Мир марок  и монет 2010  №4,3
Мир марок  и монет 2011  №7
Мир марок  и монет 2012  №1,3,8
Мир марок  и монет 2015  №3,4
Мир марок  и монет 2017  №13

";"Евдокимова Л.В.,
Титунова И.Б."
38;107;"Мир библиографии. 1998. № 1, 2, 5, 6; Мир
библиографии. 1999. № 2, 4-6; Мир
библиографии. 2000. № 1-6;  Мир
библиографии. 2001. № 1-6; Мир
библиографии. 2002. № 1-6; Мир
библиографии. 2003. № 1-6; Мир
библиографии. 2004. № 1-6; Мир
библиографии. 2005. № 1-6; Мир
библиографии. 2006. № 1-6; Мир
библиографии. 2007. № 1-6; Мир
библиографии. 2008. № 1-6; Мир
библиографии. 2009. № 1-6; Мир
библиографии. 2010. № 1-6; Мир
библиографии. 2011. № 1-6; Мир
библиографии. 2002. № 1-6; Мир
библиографии. 2013. № 1-9; Мир
библиографии. 2014. № 1-6; Мир
библиографии. 2015. № 1-3; Мир
библиографии. 2016. № 1;
Мир божий. 1899 № 8, 10, 11; Мир божий.
1900 №  6, 8; Мир божий. 1901 № 1.";Подготовили: Захарова О.В, Кольцова Е.Н, Рейтблат А.И.
39;43;"Мир божий. 1901 № 3-5, 8-12; Мир божий.
1903 № 2; Мир божий. 1904 № 6, 7/8, 9, 10;
Молодая гвардия. 1923. № 1-3, 4/5, 6, 8, 9/10; Молодая гвардия. 1925. № 2/3; Молодая гвардия 1926. № 1/3, 4-12; Молодая гвардия 1927. № 1-12.";Подготовили: Захарова О.В, Кольцова Е.Н, Рейтблат А.И.
6720;107;"Мир металла 2005 №3,2,1
Мир металла 2004 №6,4/5,2/3,1
Мир металла 2009 №6,4/5,2/3,1
Мир металла 2008 №4/6,3,2,1
Мир металла 2007 №1,2/3,4/5,6
Мир металла 2006 №4/5,6
Мир металла 2005 №4/5,6
Мир металла 2010 №1,2,3,4,
Мир металла 2011 №1,2,3/4,
Мир металла 2012 №1
Мир металла 2013 №1,2,3/4,
Мир металла 2014 №1,2
Мир музея 2003 №1-6
Мир музейных технологий 2007 март-апрель
Мир Паустовского 2000 №15-16
Мир Паустовского 1996 №7-8
Мир Паустовского 1995 №3-4
Мир танца 2000 №1
Мир танца 2001 №1-5
Мир танца 2002 №1-5
Мир техники кино 2021 №2,3,4
Мир цирка 1998 №1,2
 Мир цирка 2000 №3/4
Мир экрана  1918 №3
Мировое древо 1992 №1
Мировое древо 1993 №2
Мировое древо 1994 №3
Мировое наследие 2002 №1
Мировое наследие 2012 спецвып.
МитИнфо 2011 №1,2,3,4,5/6
МитИнфо 2012 №1,2,2,3,4/5,6
МитИнфо 2013 №1,2,3/4,5,6,
МитИнфо 2014  № 1/2,3,4,5/6
МитИнфо 2015 № 1,2,3/4,5/6
МитИнфо 2016 №1,2,3,4
МитИнфо 2017 №1,2,3,4
МитИнфо 2018 №1,2,3,4
МитИнфо 2019 №1,2,3,4
Мои интервью 2002 №1
Молодежная эстрада 1997 №4,5
Молодежный вестник СПГИК 2007 №2
Монитор 2010 №60,61,62
Монитор 2009 №55,56,57

";"Евдокимова Л.В.,
Титунова И.Б."
