Номер коробки;"КОЛ-ВО
экз. в коробке";"Обзорное описание изданий
(Название, год и номера или подшивки)";Примечания
26;79;"Звезда: 1924 № 1-3, 5-6; 4; 1927 № 1-12; 1928
№ 1-12; 1931 № 1-3, 7; 1932 № 1-6; 7-12; 1933
№ 1-6; 1933 № 7-8, 10-12, 9; 1934 № 1-6, 7-12;
1935 № 1-6; 1936 № 1-4";"Подготовил: Чернышева, Ермаков
27.07.23., с 14-18"
27;40;"Звезда: 1936 № 5-12;1937 № 1-12; 1938 1-12;
1939 № 1-3, 4-6, 7-8, 9";"Подготовил: Чернышева, Ермаков
27.07.23., с 14-18"
1;31;"Звезда: 1984 № ?-11/12; 1985 № ?-11/12; 1986
№ ?-11/12; 1987  № ?-11/12; 1988 № ?- 11/12;1989 1/2";"Подготовил: Корокина, Волошко
27.07.23, с. 10-14"
2;40;"Звезда: 1984 № 3/4-11/12; 1990 № № ?-5/6,8- 11/12; 1991 № ?-5/6,7, 9-10,11/12; 1992 № ?-
9/10;1993 № ?-5,7/8-11/12;1994 № 1-12;";"Подготовил: Корокина, Волошко
27.07.23, с. 10-14"
3;72;"Звезда: 1995 № 1-12; 1996 № 1-12;1997 № 1-
12;1998 № 1-12; 1999 № 1-12;2000 № 1-12;";"Подготовил: Корокина, Волошко
27.07.23, с. 10-14"
4;74;"Звезда: 2001 № 1-12; 2002 № 1-12; 2003 № 1-
12; 2004 № 1-12; 2005 № 1-12; 2006 № 1-12;
2007 № 1,2;";"Подготовил: Корокина, Волошко
27.07.23, с. 10-14"
5;91;"Звезда: 2007 № 3-12; 2008 № 1-12; 2009 № 1-
12; 2010 № 1-12;2011 № 1-12; 2012 № 1-12;
2013 № 4-12;";"Подготовил: Корокина, Волошко
27.07.23, с. 10-14"
6;51;"Звезда: 2014 № 1-12; 2015№ 1-12; 2016 № 1-
12;
Знамя: 1968 № (1-3),(4-6),(7-9),(10-12); 1969 №
(1-3),(4-6),(7-8), (9-10), (11-12); 1970 № (1-
2),(3-4),(5-6),(7-8), (9-10), (11-12)";Подготовил: Корокина, Волошко 27.07.23, с. 10-14
"7071
6421";49;"Знамя 1933 № 8,9,10,11,12; 1934 №
1,2,3,4,5,6,7,8,9,10,11,12; 1935 № 1,2,4,5,6,7,8;
1936 № 1,2,3,4,5,6,7,8,9,10,11,12; 1937 №
1,4,5,6,7,8,9,10,11,12; 1938 № 1,2,3";Агеева, Початкина 25.07.2023
"7072
7422";40;"Знамя 1938 № 4,6,7,8,9,10,11,12; 1939 №
1,2,3,4,7/8,9,10/11,12; 1940 № 1-2,3-5,8-9,10-12;
1941 № 1-3,5,6,7/8; 1942 № 1-4,5-8,9,11-12;
1943 № 1-4,7/8; 1944 № 1-4,5-8,9-12; 1945 №
1,2,4,7-9,10-12; 1946 № 1-3,4-6";Агеева, Початкина 25.07.2023
"7073
6423";26;"Знамя 1946 № 7-9, 10-12; 1947 № 1-3, 4-6,7-
9,10-12; 1948 № 1-3,4-6,7-9,10-12; 1949 № 1-
2,3-4,5-6,7-8,9-10,11-12; 1950 № 1-3,4-6,7-9,10-
12; 1951 № 1-3,4-6,7-9,10-12; 1952 № 1-2,3-4";Агеева, Початкина 25.07.2023
"7074
6424";27;"Знамя 1952 № 5-6,7-8,9-10,11-12; 1953 № 1-
2,3-4,7,8,9-10,11-12; 1954 № 1-3,4-6,7-9,10-12;
1955 № 1-3,4-6,7-8,9-10,11-12; 1956 № 1-3,4-
6,7-9,10-12; 1957 № 1-3,4-6,7-9,10-12";Агеева, Початкина 25.07.2023
"7075
6425";16;"Знамя 1958 № 1-3,4-6,7-9,10-12; 1959 № 1-3,4-
6,7-9,10-12; 1960 № 1-3,4-6,7-9,10-12; 1961 №
1-3,4-6,7-9,10-12";Агеева, Початкина 25.07.2023
"7076
6426";20;"Знамя 1962 № 1-3,4-6,7-9,10-12; 1963 № 1-3,4-
6,7-9,10-12; 1964 № 1-3,4-6,7-9,10-12; 1966 №
1-3,4-6,7-9,10-12; 1967 № 1-3,4-6,7-9,10-12";Агеева, Початкина 25.07.2023
7;32;"Знамя: 1970 № (9-10),(11-12); 1971 № (1-2),(3-
4),(5-6),8, (9-10), (11-12); 1972 № (1-2),(3-4),(5-
6),(7-8), (9-10), (11-12); 1973№ (1-2),(3-4),(5-
6),(7-8), (9-10), (11-12); 1974 № (1-2),(3-4),(5-
6),(7-8), (9-10), (11-12); 1975 № (1-2),(3-4),(5-
6),(7-8);";Подготовил: Корокина, Волошко 27.07.23, с. 10-14
