Номер коробки;"КОЛ-ВО
экз. в коробке";"Обзорное описание изданий
(Название, год и номера или подшивки)";Примечания
6783;63;"Обзор искусств (критика и библиография) ИЗО, театр, музыка  1935 №3,4,5,6,7,8,9,10,11,12,
Обозрение театра и кино 1928-29 №8, 1-15, 
Обозрение театра и кино 1929-30 № 1-4
Обозрение театра и кино 1930/31 февраль
Обзор печати Театр 1934 №1-5,1-5, 1, 4-5, 
Обзор печати музыка театр 1934 №2-3,2-3,6,1,2-3
Обозреватель  1995 №8,9,10,11,7,3,2,1
Журнал «О!» 1996 №2, 1995 №11
Образование в сфере искусства 2022 №2,1
Образование в сфере искусства 2021 №1
Образование в сфере искусства 2020 №2,1
Образование в сфере искусства 2019 №2
Образование в сфере искусства 2017 №2,1
Образование в сфере искусства 2013 №1
Обозрение театров 1910 №1232
Одесское обозрение театров 1911 № 80,87
Одесское обозрение театров 1912 № 153-210, 96-102-104-152, 167-169,172-210
Одесское обозрение театров 1913 № 211-284, 244,285-287-289-355-358-366-372-394, 477-505
Одесское обозрение театров 1914 № 508-515-517-538, 564,
Общество: философия, история, культура 2023 №4,3,2,1
Общество: философия, история, культура 2022 №7,8,6,5
";"Евдокимова Л.В. Бабаева О.В.
11.07.2023"
6784;69;"Одесское обозрение театров 1913 №447-452- 454-465-467-507, 395-399-402-412-414-446, 289-
300-302-306-310-313-316-318-325-327-333
Одесское обозрение театров 1914
№508,515,517,563
Окно 1993 №1
ОКО 1994 №1
Обсерватория культуры 2018 Том 15 №4
Обсерватория культуры 2017 Том 14 №1
Октябрь 2015 №1,2,3,4,5,6,7,8,9,10,11,12
Октябрь 2016 №1,2,3,4,5,6,7,8,9,10,11,12
Октябрь 2017 №1,2,3,4,5,6,7,8,9,10,11,12
ОМ 2001 №50,51,56,55,54,53,52,51, 59,58
ОМ 2002 №66,64,63,62,61,60,
ОМ 2003 №72,71,76,75,74,73";"Евдокимова Л.В. Бабаева О.В.
11.07.2023"
6930;46;"Октябрь  1925  №1, 2, (3-4), (6-7),9,10, (11-12);
1926   (1-3),(4-6),   (7-8),9,(10-12);   1927   (1-2),(3-
4),(5-6),(7-8),(9-10),  11,12;  1929  №1,  2,3,  4,  5,6,
(7-8),9,10,11,12;  1930  №  1,2,3,4,(5-6),7,  8,9,(10-
11),12;  1931  №  (2-3),(4-6),(7-9),  (10-12);  1932
№1; 1933 – (1-2).";Чабан Т.Ю. Ковтуненко М.П.
6931;51;"Октябрь  1933  №  3,4,5,6,7,8,9,10,11,12;  1934  -
1,2,3,4,5,6,7,8,(9-11),12;    1935    -    1,    (2-4),    (5-
6),7,8,9,10,11,12; 1936 – № 1 – 12; 1937 – №№ 1
-10";Чабан Т.Ю. Ковтуненко М.П.
6932;49;"Октябрь 1937 №11,12; 1938 – 1,2,  (3-
4),5,6,7,8,9,10,11,12; 1939 – 1,2,3, 4,(5-6),7, (8-9),
(10-11), 12; 1940 – 1,2,3,(4-5), (6-7), 8,9,10, 11,12;
1941 – 1,2, 3,4,5,6,(7-8),(9-10); 1942 – (3-4), (5-
6),7, 8,9,10; 1943 -2,3, (4-5)";Чабан Т.Ю. Ковтуненко М.П..
6933;44;"Октябрь 1943 – (8-9),10,(11-12); 1944 –(1-2),
(3-4), (5-6), (7-8),10,(11-12); 1945 – (1-2),3,4,(5-
6),7,8,10,(11-12); 1946 – (1-2),(3-4),6,(7-8), (10-
11),12; 1947 – №№ 1-12; 1948 – (1-3), (4-6), (7-
9), (10-12); 1949 – (1-3), (4-6), (7-9), (10-12);
1950- (1-3)";Чабан Т.Ю. Ковтуненко М.П.
6934;27;"Октябрь 1950 (4-6), (7-9), (10-12); 1951 (1-3),
(4-6), (7-9), (10-12); 1952 – (1-3), (4-6), (7-8), (9-
10), (11-12); 1953 –(1-2), (3-4), (5-6), (7-8),(9-10),
(11-12); 1954 – (1-2), (3-4), (5-6), (7-8), (9-
10),(11-12); 1955 – (1-2), (3-4), (5-6)";Чабан Т.Ю. Ковтуненко М.П.
6935;23;"Октябрь 1955 – (7-8), (9-10), (11-12); 1956 – (1-
3),(4-6), (7-9), (10-12); 1957 – (1-3), (4-6), (7-9),
(10-12); 1958 – (1-3), (4-6), (7-8), (9-10), (11-12);
1959 – (1-3), (4-6), (7-9), (10-12); 1960 – (1-3), (4-
6), (7-9)";Чабан Т.Ю. Ковтуненко М.П.
6936;17;"Октябрь 1960 – (10-12); 1961 – (1-3), (4-6), (7-
9), (10-12); 1962 – (1-3), (4-6), (7-9), (10-12);
1963 – (1-3), (4-6), (7-9), (10-12), 1964 – (1-3), (4-
6), (7-9), (10-12)";Чабан Т.Ю. Ковтуненко М.П.
6937;23;"Октябрь 1965 – (1-3), (4-6), (7-9), (10-12); 1966
– (1-3), (4-6), (7-9), (10-12); 1967 – (1-3), (4-6),
(7-9), (10-12); 1968 – (1-3), (4-6), (7-9), (10-12),
1969 – (1-3), (4-6), (7-8), (9-10), (11-12); 1970 –
(1-2), (3-4)";Чабан Т.Ю. Ковтуненко М.П.
6938;29;"Октябрь 1970 – (5-6), (7-8), (9-10), (11-12);
1971 – (1-2), (3-4), (5-6), (7-8), (9-10), (11-12);
1972 –(1-2), (3-4), (5-6), (7-8), (9-10), (11-12);
1973 – (1-2), (3-4), (5-6), (7-8), (9-10), (11-12);
1974 – (1-2), (3-4), (5-6), (7-8), (9-10), (11-12);
1975 – (1-2)";Чабан Т.Ю. Ковтуненко М.П
6939;35;"Октябрь 1975 – (3-4), (5-6), (7-8), (9-10), (11-
12);  1976 –(1-2), (3-4), (5-6), (7-8), (9-10), (11-
12); 1977 –(1-2), (3-4), (5-6), (7-8), (9-10), (11-
12); 1978 – (1-2), (3-4), (5-6), (7-8), (9-10), (11-
12); 1979 – (1-2), (3-4), (5-6), (7-8), (9-10), (11-
12); 1980 – (1-2), (3-4),(5-6), (7-8), (9-10), (11-12)";Чабан Т.Ю. Ковтуненко М.П
6940;37;"Октябрь 1981 – (1-2), (3-4),(5-6), (7-8), (9-10),
(11-12); 1982 - (1-2), (3-4),(5-6), (7-8), (9-10), (11-
12); 1983 - (1-2), (3-4),(5-6), (7-8), (9-10), (11-12);
1984 - (1-2), (3-4),(5-6), (7-8), (9-10), (11-12), 11;
1985 - (1-2), (3-4),(5-6), (7-8), (9-10), (11-12);
1986 – (1-2), (3-4), (5-6), (7-8), (9-10), (11-12)";Чабан Т.Ю. Ковтуненко М.П
6941;45;"Октябрь 1987 - (1-3), (4-6), (7-9), (10-12); 1988
– (1-2), (3-4),(5-6), (7-8), (9-10), (11-12); 1989 -
(1-2), (3-4),(5-6), (7-8), (9-10), (11-12); 1990 - (1-
2), (3-4),(5-6),7,8,9,10,11,12;  1991 – (1-2), 3,4,(5-
6), (7-8), (9-10), 11,12; 1992 – 1 -12";Чабан Т.Ю. Ковтуненко М.П
1;88;"Октябрь 1993 1,2,3,4,5,6,7,8,9,10,11,12
Октябрь 1994 1,2,3,4,5,6,7,8,9,10,11,12
Октябрь 1995 1,2,3,4,5,6,7,8,9,10,11,12
Октябрь 1996 1,2,3,4,5,6,7,8,9,10,11,12
Октябрь 1997 1,2,3,4,5,6,7,8,9,10,11,12
Октябрь 1998 1,2,3,4,5,6,7,8,9,10,11,12
Октябрь 1999 1,1,2,2,3,4,4,5,5,6,6,7,8,8,9,9.";Пушкина Егорова 25.07.2023
2;91;"Октябрь 1999 10,10,11,11,12,12,                  2000
1,1,2,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,10,10,11,11,12
2001  1,2,3,4,5,6,7,8,9,10,11,12
2002  1,2,3,4,5,6,7,8,9,10,11,12
2003  1,2,3,4,5,6,7,8.9,10,11,12
2004  1,2,3,4,5,6,7,8.9,10,11,12
2005  1,2,3,4,5,6,7,8.9,10,11,12
2006  1,2,3,4,5,6,7,8.9,10,11,12";Пушкина Егорова 25.07.2023
3;93;"Октябрь 2007 1,2,3,4,5,6,7,8,9,10,11,12
2008  1,2,3,4,5,6,7,8,9,10,11,12
2009  1,2,3,4,5,6,7,8,9,10,11,12
2010  1,2,3,4,5,6,7,8,9,10,11,12
2011  1,2,3,4,5,6,7,8,9,10,11,12
2012  1,2,3,4,5,6,7,8,9,10,11,12
2013  4,5,6,7,8,9,10,11,12
2014  1,2,3,4,5,6,7,8,9,10,11,12";Пушкина Егорова 25.07.2023
6785;94;"ОМ 2002 № 69,98,67
ОМ 2003 №70,78,77
ОМ 2004 №89,88,87,9,8,7,6,5,4,3,2
ОМ 2005 №99,97,96,95,94,93,92,91, 90
ОМ 2006 №103,102,101,100
Омск театральный 2022 №48
 Омск театральный 2021 №47,46,44,43,42,
Омск театральный 2006 №7,4
Омская муза 2022 №54
Оперетта Land 2008 №1,1,6,5,5,4,4,3,3,2,2,
1,1
Оперетта Land 2007 №6,6,5,5,4,4,3,3,2,2,1,1,
1,0,0
Оперетта Land 2009 №1,1
Опера+ 2022 № 1,
Опера+ 2019 №1/2,
Опера+ 2018 №1
Опера+ 2017 №3,2,1
Опера+ 2015 №2
Опера+ 2013 №1
Орган 1914 №125
Органные салоны 2018 №3,4,1
Органные салоны 2019 №1
Органные салоны 2020 №1
Отечество 2003 №1-9-11, 
Отечество 2002 №1-12
Отечество 2004 №4,5/6,9,8,7
Отечество 2005 №1-9
Отечество 2006 №1-12
Отечество 2007 №1-12
Отечество 2008 №1-12
";"Евдокимова Л.В. Бабаева О.В.
11.07.2023"
6786;36;"Отечество 2012 №1-12
Отечество 2011 №1-12
Отечество 2010 №1-12
Отечество 2009 №1-12
Открытый мир 2002 1,2
Печать и революция 1922  Кн. 2,1,8,6,7
Печать и революция 1921  Кн. 3,2,1,3
Печать и революция 1923  Кн. 5,4,1-2,
Печать и революция 1924  Кн. 1,6,5,2
Печать и революция 1925  Кн. 8,7,5-6,3,2,4,1
Печать и революция 1926  Кн. 1,8,7,6,5,4,2";"Евдокимова Л.В. Бабаева О.В.
11.07.2023"
