Номер коробки;"КОЛ-ВО
экз. в коробке";"Обзорное описание изданий
(Название, год и номера или подшивки)";Примечания
"7133
6483
";30;"Рабис. 1928. № 14, Рабис. № 1928. 15, 
Рабис. № 1928. 16,
Рабис. № 1928. 17, Рабис. № 1928. 19, Рабис. № 1927. 1-50, Рабис. № 1929. 1-26, Рабис. № 1929. 27-52, Рабис. № 1930. 1-26, Рабис. № 1930. 27-52, Рабис. № 1931. 1-17, Рабис. № 1931. 19-36, Рабис. № 1932. 1-36, Рабис. № 1933. 1-12, Рабис. № 1933. 1-12, Рабис. № 1934. 1-12, Рабис. № 1927. 1-24, Рабис. № 1929. 25-52, Рабис. № 1929. 2-22, Рабис. № 1928. 27-52, Рабис. № 1928. 1-24, Рабис. № 1931. 1-17, Рабис. № 1930. 28-52, Рабис. № 1930. 1-27, Рабис. № 1931. 18-36, Рабис. № 1932. 1-18, Рабис. № 1932. 19-36, Рабис. № 1933. 1-12, Рабис. № 1934. 1-6, Рабис. № 1934. 7-12,
";"Бережнова,
Титунова, 
26.07.2023
"
"7044
6394";20;"Рабочий и театр 1936 № 13-24
Рабочий и театр 1931 №1-17
Рабочий и театр 1927 №46-50-51
Рабочий и театр 1929 №27-29-31-39
Рабочий и театр 1926 № 11
Рабочий клуб 1924 № 1-8-12
Рабочий клуб 1925 № 1-12
Рабочий клуб 1927 № 1-6-8-12
Рабочий клуб 1928 № 1-12
Радуга 1885 № 1-25
Развлечение 1859 № 1-2-3-25
Развлечение 1861 № 1-50
Развлечение 1860 № 26-50
Развлечение 1862 № 1-50
Развлечение 1864 № 1-50
Развлечение 1863 № 25-34-36-50
Развлечен80 ие 1867 №1-25, 26-50, 
Рампа 1908 № 1-18, 1-18, 
";Евдокимова Л.В. Суслова Е.В.
"7135
6485";29;"Рабочий и театр. 1935. № 13-24,
Рабочий и театр. 1937. № 1-12,
Рабочий и театр. 1936. № 1-12,
Рабочий и театр. 1935. № 13-24,
Рабочий и театр. 1935. № 1-12,
Рабочий и театр. 1934. № 1-36,
Рабочий и театр. 1934. № 24,
Рабочий и театр. 1926. № 27-50,
Рабочий и театр. 1926. № 1-26,
Рабочий и театр. 1925. № 42-52,
Рабочий и театр. 1937. № 1-6,
Рабочий и театр. 1936. № 1-12,
Рабочий и театр. 1925. № 27-41,
Рабочий и театр. 1925. № 18-26,
Рабочий и театр. 1925. № 2-17,
Рабочий и театр. 1924. № 2-13,
Рабочий и театр. 1927. № 1-39,
Рабочий и театр. 1928. № 1-26,
Рабочий и театр. 1928. № 27-52,
Рабочий и театр. 1929. № 1-13,
Рабочий и театр. 1929. № 14-26,
Рабочий и театр. 1929. № 40-52,
Рабочий и театр. 1930. № 1-15,
Рабочий и театр. 1930. № 16-36,
Рабочий и театр. 1930. № 37-52,
Рабочий и театр. 1930. № 56-72,
Рабочий и театр. 1931. № 2-15,
Рабочий и театр. 1931. № 16-27,
Рабочий и театр. 1933, № 19-34,";"Бережнова
,
Титунова, 26.07.2023"
"7136
6486";23;"Рабочий и театр.
1932. № 35/36, 1934. № 1-18, 1933. № 1-18,
1932. № 17-34, 1932. № 1-16, 1927. № 27-52,
1937. № 7-12, 1936. № 24, 1936. № 13-23,
Рампа и жизнь. 1911. № 27-52, 1910. № 1-26,
1910. № 27-52, 1910. № 27-52,  1912. № 1-26,
1915. № 1-52,   1915. № 47,  1916. № 1-26, 1917.
№ 1-25, 1918. № 19,
Репертуар и пантеон. 1842. № 1-6, 1842. №
9-11, 1844. Кн. 10, т. 8. 1844. Кн. 11, т. 8.";"Бережнова
,
Титунова, 26.07.2023"
"7134
6484";25;"Рабочий клуб. 1928. № 5-10,  Рабочий и театр. 1928. № 1-25, Рабочий и театр. 1928.
№ 26-52, Рабочий и театр. 1924. № 2-14, Рабочий и театр. 1925. № 1-15, Рабочий и театр. 1926. № 1-52, Рабочий и театр. 1925.
№ 27-52, Рабочий и театр. 1929. № 40-52, Рабочий и театр. 1929. № 14-26, Рабочий и театр. 1929. № 1-13, Рабочий и театр. 1927.
№ 27-52, Рабочий и театр. 1927. № 3-26, Рабочий и театр. 1930. № 1-17, Рабочий и театр. 1930. № 18-36, Рабочий и театр. 1930.
№ 18-36, Рабочий и театр. 1930. № 37-53, Рабочий и театр. 1930. № 54-72, Рабочий и театр. 1931. № 18-36, Рабочий и театр. 1932.
№ 1-18, Рабочий и театр. 1932. № 19-36, Рабочий и театр. 1933. № 1-18, Рабочий и театр. 1933. № 19-36, Рабочий и театр. 1934.
№ 2-18, Рабочий и театр. 1934. № 19-36,
Рабочий и театр. 1935. № 1-12,";"Бережнова
,
Титунова, 26.07.2023"
"7045
6395
";18;"Развлечение 1876 № 1-26
Развлечение 1874 №26-50, 2-25
Развлечение 1873 № 26-50, 1-25
Развлечение 1872 №1-50, 
Развлечение 1871 № 1-50
Развлечение 1879 № 1-26
Развлечение 1878 № 27-52,1-26
Развлечение 1877 № 27-52, 1-26
Развлечение 1876 № 27-31-33-52
Развлечение 1880 № 1-26, 26-50
Развлечение 1881 № 1-25, 
Развлечение 1882 № 1-25, 26-50
 
";Евдокимова Л.В. Суслова Е.В.
"7046
6396";30;"Развлечение 1883 № 1-26, 27-52
Развлечение 1884 № 1-26, 27-50
Развлечение 1885 № 1-26, 
Развлечение 1888 № 20-50
Развлечение 1889 № 1-25, 26-50
Развлечение 1890 № 26-50, 
Всероссийский фольклорный союз вестник2004 № 2,1
Российский эсклибрисный журнал 2022 № 34, 33, 
Российский эсклибрисный журнал 2021 № 31, 32, 
Российский эсклибрисный журнал 2018 № 26,25, 
Российский эсклибрисный журнал 2017 № 24, 
Российский эсклибрисный журнал 2020 № 29,30, 
Российский эсклибрисный журнал 2014 № 18
Репертуар для детских и юношеских театров 2007 № 6, 5,4,3, 2,1, 2003 № 4 2001 № 2
Резец 1932 № 1-7-8-17/18
";Евдокимова Л.В. Суслова Е.В.
"7047
6397
";26;"Развлечение 1891 № 26-50, 
Развлечение 1892 № 1-25, 
Развлечение 1893 № 1-25, 1, 26-50
Развлечение 1894 № 1-25, 26-50
Развлечение 1895 № 1-25, 26-35-37-50
Развлечение 1899 № 1-25, 
Развлечение 1902 № спецвыпуск Шаляпину
Развлечение 1904 № 1-26
Резец 1939 № 1-12, 13-24, 8 шт., 
Резец 1938 № 1-24, 
Резец 1937 № 13-34, 11—12-14-18-21-22, 
Резец 1932 № 20-22
";
"7048
6398
";42;"Развлечение 1905 № 1-26, 27-49
Развлечение 1906 № 1-2-4-15-17-21-24-26, 27-29-30-32-36-39-44-46-50
Развлечение 1912 № 1-13-15-50,
Развлечение 1913 № 1-50
Развлечение 1909 № 1-25, 26-49
Развлечение 1911 № 1-50,
Рампа 1909 № 1-13, (1,2,3,4,5,6,7,8,9,10,11,12,13),
Рампа и актер 1909 № 1-30
Рампа и жизнь 1909 № 1-39
Рампа и жизнь 1910 № 1-26
Революция и культура 1929 № 7-12, 1-6, 14-24
Революция и культура 1928 № 19-20
Резец 1934 № 6-7-13-17-19
РАПП 1931 № 2-3
Резец 1938 № 16,18,19,20,21,22,23,24
Петрушка 1997 № 2
Региональная Россия 2019 № 7
";Евдокимова Л.В. Суслова Е.В.
"7049
6399";35;"Рампа и жизнь 1911 № 1-26, 27-52
Рампа и жизнь 1912 № 1-26, 27-52
Рампа и жизнь 1913 № 1-52
Рампа и жизнь 1914 № 1-52, 27-28-33-35-37-38-
39-42-44-46-48-51
Рампа и жизнь 1917 № 1-25,
Реклама ДИ 1993 № 2/3, 1991 № 1-3-5-6,
Рекламные идеи 2011 №6,5 , 4,
Реликвия 2003 № 2,  2006 № 15, 2008 № 18,
2011 № 26/ 2013 № 29-30
Реноме 2022 № 6, 7, 2023 № 1, 2,
Резец 1937 № 1-12
Резец 1935 № 13-24
Репертуар для детских и юношеских театров 2008 №6,5, 4,3,2,1
Репертуар для детских и юношеских театров
2009 №6,5, 4,3,2,1";Евдокимова Л.В. Суслова Е.В.
