Номер коробки;"КОЛ-ВО
экз. в коробке";"Обзорное описание изданий
(Название, год и номера или подшивки)";Примечания
6859;34;"Вахтанговец
2014 № 14, 15-20, 24 (подщивка)
2014 № 16 (2экз)
Афиша 1991 № 1-12 (подшивка)
1992 № 1-12 (подшивка)
Арена
1992 № 25-26 (подшивка)
Габтовец
1933 № 1
Декоративное искусство
2001 № 1 (подшивка)
2002 № 1-4 (подшивка)
Доктор Чехов
1992 № 1-2 (подшивка)
1992-1997, 1999-2000 (подшивка)
1996 № 2
2001 № 1-8 (подшивка)
2002 № 7/8
2003 № 1-10, 9/10-11/12 (подшивки)
2004 № 1/10
2005№ 1/2
2006 № 1-4 (подшивка)
2007 № 1/2-8 (подшивка)
2008 № 1/2 -3/4 (подшивка)
Дом Волкова
2001 № 1 2002 № 4-5 (подшивка)
2002 № 5, 2003 № 7 (подшивка)
2003 № 6/8
Звезды над паркетом
2008 № 5-13 (подшивка)
2009 № 1-9 (подшивка)
2010 № 1-9 (подшивка)
2011 № 1-10 (подшивка)
2012 № 1-8 (подшивка)
2013 № 2-6 (подшивка)
2014 № № 1, 2, 3
Золотая маска 
2010 № 3-4 (подшивка)




 



";"Заигрова Коваленко
18.07.2023"
18;82;"Вестник архивиста: 2015 № 1-4; 2016 № 1-4;
2017 № 1-4; 2018 № 1-4; 2019 № 1-3; 2021 № 1,
3; 2023 № 1
Вестник библиотеч. Ассамблеи Евразии:
2019 № 4;
Вестник Восточно-Сибир. Госуд. Инст-та культуры: 2020 № 2(14); № 4(16); 2022
№2(22); 2022 № 4(24); 2023 № 1(25);
Вестник Кемеровского госуд универ. Культуры и искусств: 2022 № 61; 2023 № 62;
Вестник культурологии: 2019 № 1, 3-4; 2020
№ 1, 2; 2021 № 1-4; 2022 № 1-4; 2023 № 1
Вестник Магнитогорской консерватории:
2021 № 3; 2022 № 1, 2
Вестник ВГИК: 2017 № 2; 2018 № 2;
Вестник Московск. Универ-та: 2007 № 1-6;
2008 № 1-6; 2009 № 1-6; 2010 № 1-6; 2011 №
1-6; 2012 № 1-6; 2013 № 1-6";Подготовил: Чернышева, Ермаков 27.07.23., с 14-18
"7030
6380";18;"Вестник Европы 1866 3, 4, 6, 9, 1867 1-2,  3-4,
1868 1-2, 3-4, 5-6, 7-8,  11-12,  1869 7, 8, 12,
1870 1-2, 3-4, 5-6, 7-8";"Подготовил Пинто, Чевычалова
24.07.23, с 14-18"
"7031
6381";29;"Вестник Европы 1872 № 1; 1869 №1, 2, 3, 4, 5,
6, 9,10,11, 1868 (9-10); 1893 11-12, 1894  1-2, 3-
4, 5-6, 7-8, 9-10, 11, 12; 1895 1, 3, 4, 5, 6, 7-8, 9-
10,  1896 3-4, 7-8, 11-12";"Подготовил Пинто, Чевычалова
24.07.23, с 14-18"
"7033
6383";44;"Вестник Европы 1892 9-10, 11-12, 1893 1-2, 3-
4, 5-6, 7-8, 9-10
Вестник истории мировой культуры: 1961 4-
6
Вестник Кемеровского гос. ун-та культуры и искусств: 2010 13; 2011 14; 2012№ 21, 18;
2013 № 22/2, 25; 2022№ 59
Вестник Томского гос. Архитектурно- строительного ун-та: 2020 1;
Вестник новой литературы: 1990 1;
Вестник Томского гос. Ун-та: 2015 2; 2016 4;
2017 25, 26, 27; 2018 28, 29, 30, 31, 32; 2019 33,
34, 35, 36; 2020 № 38, 39, 40; 2021 № 41 42, 43,
44; 2022 45, 46, 47;
Вестник церковного иск-ва и археологии
2019 1; 2020 №1, 2,";"Подготовил Пинто, Чевычалова
24.07.23, с 14-18"
"7032
6382";27;"Вестник Европы 1895 11-12, 1896 1-2, 5-6,
1897 1-2, 3-4, 5-6, 7-8,  1890 № 2, 3, 4, 5, 6, 7, 8,
9, 10, 12, 1891 1-2, 3, 5-6, 7-8, 9-10, 11-12, 1892
1, 3-4, 5-6, 7-8";"Подготовил Пинто, Чевычалова
24.07.23, с 14-18"
"7020
6370";22;"Вестник Европы: 1870 № 9/10, 11/12; 1971 № 7/8, 9/10, 11/12;
Библиотека театра и искусства: 1906 №1, 2, (6-12), (1-6); 1907 (№ 1-12), (1-6); 1907 № (7-
12), (1-6); 1908 № (3-6), (1,2), (1,5,6), (7-12), (9-
12); 1909 № (1-6); 1909 (1-6), (7-12), (7-11);
1910 №(1-6);";Подготовил: Корокина, Волошко 24.07.23, с. 10-14
"7014
6364";32;"Вестник Европы: 1873 №3-12; 1874№ 3/12; 1875№ 1-3;  1902№ 4; 1903№ 12; 1904 № 1-10;";Подготовил: Корокина, Волошко 24.07.23, с. 10-14
"7009
6359";32;"Вестник Европы: 1875№ 1-12; 1876 № 1-
12;1877 № 1-7,9-12;";Подготовил: Корокина, Волошко 24.07.23с. 10-14
"7010
6360";29;"Вестник Европы: 1878 № 1-3, 5-12; 1879 № 1-
12; 1881 № 3/4 ,5/6; 1880 № 4,5/6; 1881 №
?,11/12;";Подготовил: Корокина, Волошко 24.07.23, с. 10-14
