Номер коробки;"КОЛ-ВО
экз. в коробке";"Обзорное описание изданий
(Название, год и номера или подшивки)";Примечания
5016;62;"Газеты:
Kolnifche illustrierte zeitung 1929 №20
American dress maker 1912 № 8
Pour Vous 1939 № 555 5 июля
Rendez Vous 1959 № 20-25
Supremus 2001 № 7, 1999 №6, 
The art newspaper Russia 2021 № (17 шт.),  2019/20 № (24 шт.)
2020 № 1-8-10, 2014 № 1-6, 2017 № 1-5, 2016 № 6-10, 1-5, 2015 № 1-5, 2013 №1-5, 6-10, 2012 № 7-8/9, 
Украиньска культура и життя (укр) 2009 № 34,36,37,38,39,49/50,51/52
";"Евдокимова Л.
В.,  Суслова"
5098;15;"Газеты:
Искусство 2002 № 1-21-24, 2001 №1-11, 12-24,
2000 № 25-48, 1-24, 1999 № 25-48, 1990 №1-24,
1998 № 25-47,
СинеФантом 2007 №33/36, 2005 № 13-14-22-31-
33, 2004 № 1-5-7-11,
Играем с начала 2013 №1-13,
Московский художник 1980 № 1-50, 1981 № 1-
31-33-51/52,  1975 № 1-52";"Евдокимова Л. В.,  Суслова
Е.В."
5096;17;"Газеты:
Искусство 2010 №13-24, 1-12, 2009 №13-24, 1-12, 2008 № 13-17-19-24, № 1-12, 2007 № 12-23, 2006 №13-24,  2-3-5-12, №1, 2005 № 1-24, 1-12, 2004 № 1-24, 2003 № 1-24, 
Играем сначала 2018 № 1-12, 2017 №1-12, №7/8
";"Евдокимова Л. В.,  Суслова
Е.В."
5162;19;"Газеты:
Литература и жизнь 1962г. (подшивка) 77-155. 
Московский литератор 1960г. (подшивка) №1-46. 
Советская культура 1967г. июль-декабрь. Московский литератор 1961г. (подшивка) №1-46; 1962г. (подшивка) №1-26, 28-46. Музыкальная газета 2002г. (подшивка) ? -36.  Музыкальный клондайк 2005г. (подшивка) №1,2,4-12.
Супремус 1992 № 1, 1993 № 2, 1994 № 3, 1995 № 4, 1998 № 5
Московский художник 2003 № 1-6, 2014 № 1-10, 2004 № 5-12, 2005 № 1-4,6-12; 2006 № 1-6, 11-12; 2007 № 1-11/12
";Суслова Е.В. Шейнин М.Ю.
5097;30;"Газеты:
Литературная газета 2022 № ?-52
СинеФантом 2018 №7-9-11-13, 2016 № 1-3-5-6-7-8-9-10, 2019 № 1, 2013 № 14, 18, 18, 2009 № 28, 2015 №№ 6-9-12-20, 2011 №24, 
Империя драмы 2011 № 43-51, 2010 № 33-42, 2008 № 19-25-28-29-32, 2006 № 2, 
СК новости 2004 № 14-16, 2003 № 17-18, 14, 
Играем с начала 2016 № 1-6-9-12, 2015 № 2-12, 2014 №1-12, 
Театральная газета 2007 № 1, 
ОМС газета 2017 июнь, 2012 май, 2013 апрель
Рабочий клуб 1925 №1 (конверт)
Российская газета Неделя 2005 № 25-30, 31-38,
Российская музыкальная газета 1993 № 1-12, 1992 № 1-3-5-11,
Московский художник 1977 №1-52, 1976 № 1-3-32-34-50-52-53

";"Евдокимова Л. В.,  Суслова
Е.В."
5095;63;"Газеты:
Литературная газета 2023 г. №1-26
Раннее утро 1913 июль
Московский художник 1967 №6-52,
1968 № 1-9-19-52, 1969 № 1-52, 1970 № январь-декабрь, 1971 январь-декабрь, 1996 № 3-16-31/32, 
Музыкальный клондайк 2006 № 1-7-9, 
Манеж 2008 № 1-8, 2009 №1, 2, 3, 4, 5, 6, 7, 8, 9
Манеж 2005 № 1,2,3, 4, 5, 6, 7, 8
Манеж в «Октябре» 2018 № 1-6, 2016 № 1-6, 2015 № 117-122, 2014 № 1-9, 2013 № 1-9, 2012 № 1-9, 2011 №1-9, 2010 № 1-8, 
Империя драмы 2008 № 15, 2007 № 3,5,6, 
Коммерсант Guide 2023 №10
Коммерсант Стиль 2023 №13, 2022 № 27, 23, 
Коммерсант Интерьеры 2023 № 11, 2022 №29, 
Коммерсант Weekend 2013 № 14,17
2023 № 10, 4, 2022 № 33, 45, 37, 37, 
Коммерсант Подарки 2023 №2,
Коммерсант Часы и украшения 2022 № 25,
Культура 2023 №1-6
Вестник ММКФ 1991 № 18, 19, 20, 21
Играем сначала 2012 №7-8, 
Искусство 2011 №11-17, 2011 № 1-3-5-10

";"Евдокимова Л. В.,  Суслова
Е.В."
5017;24;"Газеты:
Московский художник 1978
1984 № 1-52, 1985 № 1-52, 1983 № 1-52, 1982 №
1-52, 1979 № 1-48, 1990 №1-50, 1989 №1-50, 1988
№ 1-51, 1987 № 1-52, 1986 № 1-51, 1994 № 1-6-8-
13-15/16-17/18, 1992 № 4-52, 1993 № 1-52, 1991 №
1-12,16-26, Музыкальный клондайк 2004 № 1-
12, 2007 № 1-12, 2009 № 3/5
2009/10 № 1-3, 2008 №1-6
Музей Московского Кремля 09.01. 22 ,
17.09.21,
The art newspaper Russia 2019 №5,";"Евдокимова Л. В.,  Суслова
Е.В."
5163;19;"Газеты:
Московский художник 2008 № ?-11/12, 2009 №1/2 -11/12, 2010 № ? - 6, 7-12, 2011 № 1-12, 2012 № 1-12, 10-12, 
2013 № ?, ?/ 2014 ?, 5/7-8/10
ЛГ досье 1993 № 1-12, 
Музыкальный клондайк 2012 № 8-12, 1-7, 
2010 № 1-3, 
Московский художник 1972 № февраль-декабрь, 1974 № 1-50, 1995 № 1-30, 
Литература и искусство 1944 № 1-44, 
Сине Фантом 2010 № 11-14-18-19-20/ 2012 № 11/ 2013№6
Манеж 2002 № 1-8, 
The art newspaper Russia 2015 № 6-10, 
Новости Мосфильма 1991 № 5-42, 

";Суслова Е.В., Евдокимова Л.В. 
5099;35;"Газеты:
Музыкальный клондайк 2019 № 1-5-6/7-12, 2018 ?-12, 1-5, 2014 № 7-10, 2
The art newspaper Russia 2017 №6-10 Winzavod Art Review 2011 №17-20-22-25/ 2012
№38-40, 2013 № 41-46-48-50, 2010 № 7-11-14-16
Новости МСХ 2010 № 1-4-6-11, 2009 № 1-5-7-12,
2012 № 2-9, 2011 №1-10-12
Наш изограф 2001 № 10, 2002 №6, 2003 № 1, 8,
2004 № 3, 2007 № 7, 2012 № 1, 5, 2013 №3
НИКА 2004 № 17,
Коммерсант Подарки 2023 № 47,
Коммерсант Украшения 2022 № 2236
Мятеж Ленинград 1933  23.03
Доходное место Лениград 1933 1№ Музыкальный Клондайк 2017 №3-12
2016 № 1-12, 2015 № 1-11,1-12, 2014 №7-12, 7-12,
1-7, 1-7";"Евдокимова Л. В.,  Суслова
Е.В."
5014;19;"Газеты:
Театральная газета 1997 № 3-5, 
Художники России 2004/ 2005 22-24-1
Экран и сцена 2000 № 23-50, 2001 № 1-24, 2020 № 1-24, 2019 № 1-24, 2009 № 7-22-24, 
2007 № 1-16/17-20/21-24/25-30/31-36-42/43, 2008 №18/19, 1993 № 37-52, 1999 №1-25, 
1997 № 1-52, 1996/97 № 51/52, 1994 № 25-52, 1-24, 
Музыкальная газета 2007 № 8-24
Музыкальный клондайк 2019 № 9, 2020 № 1, 2,
";"Евдокимова Л. В.,  Суслова
Е.В."
